grid,case,amplitude,time,chi,delta_chi,predicted_delta_chi,delta_cycles,predicted_cycles,local_a,local_invariant,delta_density,predicted_density
base,quiet,0,10.5,-0.0003695403369980184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.6,-0.00033088317444029426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.700000000000001,-0.0002916623914563396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.8,-0.00025194479604342924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,10.9,-0.00021179804245756244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.0,-0.00017129051597284157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.1,-0.00013049121639556406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.200000000000001,-8.946964053133588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.3,-4.829566380567126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.4,-7.039421239842221e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.5,3.4228812015549925e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.6,7.543874038584376e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.700000000000001,0.00011652016761225942,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.8,0.00015740311632251433,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,11.9,0.00019801794722861394,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.0,0.00023829547774877264,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.1,0.0002781670998513192,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.200000000000001,0.0003175648969198713,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.3,0.00035642175944075865,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.4,0.00039467149931566767,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.5,0.0004322489626047922,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.6,0.0004690901405084273,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.700000000000001,0.0005051322783980437,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.8,0.0005403139827111855,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,12.9,0.0005745753255280197,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,13.0,0.0006078579466514065,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,13.1,0.0006401051530167571,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,13.200000000000001,0.0006712620152622881,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,13.3,0.000701275461295062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,13.4,0.000730094366693566,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,13.5,0.0007576696417928731,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,13.6,0.0007839543153037928,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,13.700000000000001,0.000808903614323597,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,13.8,0.0008324750406022609,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,13.9,0.0008546284429341997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,14.0,0.0008753260855519029,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,14.1,0.0008945327124050204,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,14.200000000000001,0.0009122156072156101,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.3,0.0009283446492071904,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.4,0.0009428923644124562,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.5,0.0009558339724722866,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.6,0.000967147428846489,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.700000000000001,0.0009768134623643532,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.8,0.0009848156080509193,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,14.9,0.0009911402351731094,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.0,0.0009957765704580908,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.1,0.0009987167164442212,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.200000000000001,0.000999955664933292,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.3,0.0009994913055212972,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.4,0.0009973244291931662,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.5,0.0009934587269752528,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.6,0.0009879007836479969,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.700000000000001,0.000980660066529462,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.8,0.0009717489093487462,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,15.9,0.0009611824912368581,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.0,0.0009489788108708544,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.1,0.0009351586558150561,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.2,0.0009197455671116692,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.3,0.0009027657991813265,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.4,0.0008842482751016242,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.5,0.0008642245373396958,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.6,0.0008427286940229876,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.7,0.0008197973608397145,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.8,0.0007954695986678378,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,16.9,0.0007697868470389733,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.0,0.000742792853550491,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.1,0.0007145335993458798,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.2,0.0006850572207906338,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.3,0.0006544139274771465,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.400000000000002,0.000622655916697907,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,17.5,0.0005898372845328407,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,17.6,0.0005560139337026104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,17.7,0.0005212434783445277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.8,0.0004855851458731745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,17.900000000000002,0.00044909967609329057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.0,0.00041184921773660673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.1,0.0003738972225986264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.2,0.0003353083374560961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.3,0.00029614829394920833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.400000000000002,0.00025648379661560714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.5,0.0002163824092672862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.6,0.0001759124399042931,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.7,0.00013514282436062378,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.8,9.41430088803462e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,18.900000000000002,5.298283182467099e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,19.0,1.1732404711331355e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,19.1,-2.9538007211720246e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,19.2,-7.075810465459894e-05,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,19.3,-0.00011185767403148716,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,19.400000000000002,-0.0001527667070606715,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,19.5,-0.00019341552001507284,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,19.6,-0.00023373487241996817,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,19.7,-0.00027365608499569765,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,19.8,-0.0003131111566444661,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,19.900000000000002,-0.00035203288028191193,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,20.0,-0.0003903549573162284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,20.1,-0.0004280121105798779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.2,-0.0004649401955214276,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.3,-0.000501076309468104,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.400000000000002,-0.0005363588987729956,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.5,-0.000570727863664373,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.6,-0.000604124660618556,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.7,-0.0006364924020819676,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.8,-0.0006677759533724746,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,20.900000000000002,-0.0006979220265949713,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,21.0,-0.0007268792714112386,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,21.1,-0.0007545983625094709,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,21.2,-0.0007810320836245404,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,21.3,-0.0008061354079658082,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,21.400000000000002,-0.0008298655749153863,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,21.5,-0.0008521821628663986,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,21.6,-0.000873047158077189,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,21.7,-0.0008924250194239033,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,21.8,-0.0009102827389412067,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,21.900000000000002,-0.0009265898980482771,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.0,-0.0009413187193640881,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.1,-0.0009544441140235244,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.2,-0.0009659437244139723,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.3,-0.0009757979622595776,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.400000000000002,-0.0009839900419880525,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.5,-0.0009905060093233621,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.6,-0.000995334765055643,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.7,-0.0009984680839475958,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.8,-0.000999900628745282,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
base,quiet,0,22.900000000000002,-0.0009996299592696996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.0,-0.0009976565365732962,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.1,-0.0009939837221542797,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.2,-0.0009886177722305506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.3,-0.0009815678270828534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.400000000000002,-0.0009728458954848629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.5,-0.0009624668342470778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.6,-0.0009504483229097365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.7,-0.0009368108336274282,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.8,-0.0009215775962965369,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,23.900000000000002,-0.0009047745589853464,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,24.0,-0.0008864303437342136,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,24.1,-0.0008665761978008128,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
base,quiet,0,24.2,-0.0008452459404336101,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,24.3,-0.0008224759052643753,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
base,quiet,0,24.400000000000002,-0.0007983048784177168,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
