sample,condition_j,det_x,g_xy,det_transform_error,g_transform_error,sl_error,observer_det_error,observer_norm,observer_norm_transformed,norm_transform_error,norm_identity_error,projector_error,projector_trace_error,weighted_ray_error,euclidean_error,euclidean_min_eigenvalue
583,5.632834536527395,-3.3171060485497814,-0.9754210778026405,3.305806621786072e-17,2.866980097557249e-17,1.1102230246251565e-16,3.641038423279501e-17,2.302884791417836,2.302884791417835,3.8568078742371355e-16,0.0,6.548335038271306e-17,0.0,7.988732305643686e-17,1.06704566339331e-15,0.1775305121276449
584,5.237144923273919,-2.2183590892747533,-0.07654985217586763,7.96116417521272e-17,2.1114929151920073e-17,1.570092458683775e-16,4.440892098500626e-16,4.2976581222651085,4.29765812226511,4.1333135136957106e-16,4.1333135136957106e-16,2.5356699884871977e-16,0.0,2.9527706266069355e-16,1.1381685445818108e-15,0.19094373263493014
585,2.695363655329171,-2.901047749104546,-0.4898997288565623,2.7016316385737473e-16,3.7909479269488804e-17,4.444278938805073e-16,2.221222099346223e-16,3.5599237760686906,3.5599237760686906,0.0,7.484809863100176e-16,1.7041310160602548e-16,0.0,2.3987820452909697e-16,1.6077306941496561e-15,0.3710074512664881
586,2.1856902960252316,-7.498220453295752,1.4126192019375698,6.497968482722174e-17,3.104332178450344e-17,2.220446049250313e-16,1.1158170340884455e-16,0.5222405393325766,0.5222405393325765,1.1102230246251565e-16,1.1102230246251565e-16,1.3226401662121003e-16,0.0,3.3214534710849813e-16,5.813971991619649e-16,0.4575213614749267
587,34.79947453252735,-3.390107362920551,-3.858944015862607,7.815313469336538e-17,3.8969013841892164e-17,2.272951182013983e-16,1.4211054151842073e-16,5.806222321512246,5.8062223215122355,1.8356412218169354e-15,3.059402036361559e-16,1.186568604850269e-16,0.0,1.9384905315411455e-16,7.571550991294e-15,0.02873606608816122
588,10.106348580772256,-0.8873257263026976,1.319594694071637,1.1696467114055889e-17,6.459632291838163e-17,2.775557561562891e-16,4.47545209131181e-16,2.029799773347885,2.0297997733478845,2.1878473713572076e-16,2.1878473713572076e-16,2.3219394097062566e-16,2.220446049250313e-16,4.125055735273997e-16,3.3306690738754696e-16,0.09894770519814935
589,5.147565297068126,-0.8585628546817847,-0.07327574058694486,9.195454931257663e-17,1.7079231571917096e-17,3.3766115072321297e-16,2.229449681259182e-16,2.906537543145088,2.906537543145088,0.0,1.5278977245534745e-16,1.2761292391191433e-16,0.0,1.5405211885018092e-16,1.2597522535915437e-15,0.19426659834107646
590,21.22580637563383,-3.623598635604555,3.0421868499699816,5.3907224669346916e-17,0.0,2.0014830212433605e-16,9.33597582244318e-16,7.497065437890521,7.497065437890518,4.738805747706188e-16,4.738805747706188e-16,2.148032534458795e-17,0.0,1.9445932749257473e-16,1.8633692211752752e-15,0.0471124621747227
591,13.238590823551922,-4.466115357122047,0.8738293641679526,2.370622089978858e-16,1.077027060427801e-16,3.3306690738754696e-16,4.44244100259631e-16,2.0351364904433358,2.0351364904433358,0.0,1.0910551010593936e-15,2.3517318994560347e-17,0.0,1.0507510973072675e-16,8.846773841305151e-16,0.07553674052837749
592,3.369567288598264,-0.3891412627805312,-0.06404409071360112,1.1310430672968915e-16,2.7755575615628914e-17,2.2887833992611187e-16,1.7134817929783648e-17,0.6276310351970947,0.6276310351970948,1.1102230246251565e-16,1.1102230246251565e-16,5.572114440686695e-17,0.0,1.8305261786118614e-16,1.2212453270876722e-15,0.296774011127108
593,3.102268719770322,-3.2279024956314766,2.0891953355364823,2.46736498464752e-17,8.962779425698475e-17,2.482534153247273e-16,1.447763842989095e-17,1.254240669448702,1.2542406694487023,1.7703508611519542e-16,3.5407017223039083e-16,9.425663674643101e-17,0.0,1.6454310957879432e-16,1.4455065565844432e-15,0.32234473874785285
594,55.15143733497382,-2.093388615646444,2.3072993823044645,1.5976175441762537e-16,2.0892910970981642e-16,1.570092458683775e-16,1.903838269217419e-15,23.963901779146667,23.963901779146333,1.3935755908407789e-14,1.779032669158441e-15,2.0744990735024478e-16,1.1102230246251565e-16,2.7393594853486877e-16,6.377568691696909e-15,0.01813189371524678
595,2.771716217355025,-5.210038452025371,0.918249764556655,3.554759422854435e-17,0.0,0.0,1.1221983042323197e-16,4.216306352443308,4.216306352443309,2.1065319866651403e-16,2.1065319866651403e-16,1.452598543911951e-16,0.0,1.5465667474241124e-16,0.0,0.3607872962385279
596,3.9494754800745877,-0.06814690637198637,-0.1512664902387716,4.2535829381046504e-17,8.56794085996588e-17,2.2887833992611187e-16,2.2415651088607757e-16,5.004800335203669,5.004800335203669,0.0,7.09861221397941e-16,1.3067540146248464e-16,1.1102230246251565e-16,2.4254740823579585e-16,4.440892098500626e-16,0.25319817911139675
597,12.59757046238986,-6.75690748547355,1.6681546708189259,2.084589931412617e-16,1.0332694296459796e-16,1.2412670766236366e-16,5.236911533344271e-16,12.117109113355305,12.117109113355312,5.863962510471661e-16,7.329953138089576e-16,7.930990759183083e-17,0.0,2.0288664160640116e-16,3.4032379361512745e-16,0.07938038552636065
598,11.524587469517941,0.1152486667438008,-1.325376198179966,4.1661794973158994e-17,1.042862683351677e-16,2.0014830212433605e-16,2.3604738545605315e-17,9.836386702549767,9.83638670254977,3.611807654816554e-16,0.0,1.431271636581823e-16,1.1102230246251565e-16,2.3322931550047187e-16,2.1481047475394686e-15,0.08677100179463769
599,2.4176447402152097,-3.8990542556637617,-2.573151051823291,1.6874833437093392e-16,2.769953353757557e-16,1.1102230246251565e-16,2.2159080447746463e-17,4.02971879070132,4.029718790701326,1.3224422831929907e-15,2.2040704719883177e-16,3.293337396730262e-17,0.0,8.708438907959317e-17,1.785564090566796e-15,0.4136257008178069
600,3.4254205989887603,-2.9060685078127597,2.8319950860673377,1.0982517184849267e-17,3.413518906847828e-17,3.3306690738754696e-16,2.371309219705659e-18,8.823866939999002,8.823866939999,2.01312740942176e-16,2.01312740942176e-16,1.1532184673134913e-16,0.0,6.576490351693235e-17,1.2733014414380594e-16,0.29193495254136564
601,91.0562721547221,-1.1855513243035742,-0.2759656404754897,8.326656370213029e-17,3.937310537948094e-17,1.1188630228279524e-16,1.5982970556924728e-15,26.522094021078964,26.522094021079283,1.2055768705062352e-14,2.679059712236078e-16,4.32317519059921e-17,0.0,2.0399917667056972e-16,1.3898835507707473e-16,0.010982219855218744
602,7.8868348589998405,-2.06333845276217,2.3110226202132003,2.885116654778182e-16,3.296723055730074e-16,2.237726045655905e-16,9.843815537139967e-18,1.3553956776547205,1.3553956776547202,1.6382271877186547e-16,6.552908750874619e-16,1.0405861827359108e-16,0.0,1.99123122643518e-16,1.8090782954518285e-16,0.1267935766220437
603,2.4449394751774367,-0.3511537371365702,-1.5299242709669327,4.4722865270149236e-17,3.9743990014355786e-17,2.220446049250313e-16,8.046805950046152e-18,1.594586126794606,1.594586126794606,0.0,0.0,8.590554608528944e-17,0.0,3.1707076702404783e-16,5.338223642476438e-16,0.4090080798124572
604,6.867566807614527,-4.0343026532345005,1.2818816319708657,1.3229822088901316e-17,1.0642663142049751e-16,1.2412670766236366e-16,4.639921664874686e-16,9.389510261833005,9.389510261833,5.67555747807492e-16,3.7837049853832804e-16,3.838624428482868e-17,0.0,3.549907046899013e-16,5.244293340591218e-16,0.14561197990694952
605,56.57984525629921,-1.0407958780787157,0.8551479734104015,1.7006171837844019e-16,7.447483229756739e-17,1.2412670766236366e-16,1.0626476611569575e-15,13.07592232487206,13.075922324872067,5.433977948986114e-16,9.5094614107257e-16,1.2612799156429974e-16,0.0,2.1368492925440612e-16,1.0631848962380837e-14,0.017674138122326193
606,5.724066172060346,-6.785164836468816,3.7378018479203208,2.1000996201801796e-16,8.884117333879415e-17,2.482534153247273e-16,2.220454909561139e-16,19.554989837566048,19.55498983756605,1.8167811429774165e-16,1.8167811429774165e-16,1.6551260097610385e-16,0.0,2.3330078599191535e-16,6.523330137390404e-16,0.17470098526831876
607,8.574081088693179,-1.6382026593012513,0.92733321728241,2.597925078241182e-17,0.0,0.0,1.1381868137092923e-16,25.032186982438727,25.03218698243871,7.096291029810737e-16,2.838516411924295e-16,2.799943293538568e-16,2.220446049250313e-16,1.0464113176923173e-16,6.77634214926579e-16,0.11663057412866351
608,17.391386719017117,-0.34273900358764653,2.4043558666918012,1.865537144857951e-16,5.011214693160271e-16,4.577566798522237e-16,3.3785967267937316e-16,5.862434922900549,5.86243492290055,1.5150333118933496e-16,3.030066623786699e-16,1.2417549372709757e-16,0.0,4.653871390081782e-17,3.3306690738754696e-16,0.057499727661539414
609,16.66451486149416,0.7920455059662579,-0.39144473060950497,6.810066475242672e-17,3.157523977204594e-17,0.0,2.1165568372885514e-16,5.173306264726697,5.173306264726694,5.150546135781779e-16,1.7168487119272596e-16,8.823132933562067e-17,1.1102230246251565e-16,7.557637008561816e-17,4.287590041481859e-16,0.06000774749889032
610,4.085205321702233,-2.6855439537729744,-1.8175968586509381,6.570482779995656e-17,0.0,2.7755575615628914e-17,2.2204480509963523e-16,16.35972890119506,16.35972890119507,6.514864091435487e-16,2.171621363811829e-16,3.167566757090067e-16,0.0,3.9432199783139997e-16,7.225121692123358e-16,0.2447857381090741
611,5.514172546560383,-1.93237085567827,-2.4153195775532357,4.6800481731533944e-17,5.223603411129673e-17,2.2887833992611187e-16,3.331522415298748e-16,2.4984733814511277,2.4984733814511286,3.554884459822686e-16,7.109768919645372e-16,1.5120758376514567e-16,0.0,2.2160903085777598e-16,4.1750065939530115e-16,0.18135087205854095
612,27.832106474425153,-0.3992965607156538,0.023269165144461035,2.206046078774555e-16,1.2212310119979258e-17,2.775557561562891e-16,7.468261590855955e-16,0.27177576678852744,0.2717757667885275,5.551115123125783e-17,6.661338147750939e-16,1.3960633533785111e-16,1.1102230246251565e-16,1.3246141254393256e-16,1.5543122344752192e-15,0.03592972745052429
613,12.129042721541051,-4.416936198762003,4.060313569899763,1.802372165366683e-16,0.0,1.2412670766236366e-16,8.95090418262362e-16,9.103562599777717,9.103562599777723,5.85382970654903e-16,5.85382970654903e-16,1.686206248286097e-16,0.0,1.4765732708970844e-16,2.0553180892508267e-15,0.08244673738546476
614,14.973540264961958,-4.415903539554545,2.81707120814747,1.819854536997421e-16,0.0,1.2412670766236366e-16,3.827537649633426e-17,16.92659838577282,16.92659838577284,1.2593364352946314e-15,0.0,1.640829940589873e-16,0.0,2.269673200830863e-16,1.6257688102129474e-16,0.06678447329787447
615,81.92109440855809,-2.0687826748525455,0.45081098925356666,1.0727282581153326e-16,1.1750934460193404e-17,0.0,2.0695281702688732e-15,11.36183385638486,11.361833856384896,3.1268840256839603e-15,9.380652077051882e-16,3.464776558778133e-17,0.0,2.5533856613126976e-16,2.111188235697667e-14,0.012206868172582035
616,16.92139825179596,-9.644879863055388,-4.2790592839847506,4.556892034908466e-17,1.4400820350685424e-16,1.1102230246251565e-16,3.985356195386347e-16,22.489997462014976,22.48999746201493,2.0535919535968045e-15,0.0,1.4855784437902756e-16,0.0,1.791218761003174e-16,1.5300580493170608e-15,0.05909677114856213
617,27.708351499443047,-0.2090289632687801,0.869919633076344,1.6653345369377348e-16,1.0504745670069421e-16,2.0014830212433605e-16,5.578801654593729e-16,3.1142190175975415,3.114219017597541,1.4260050668904283e-16,5.704020267561713e-16,3.1488725315968673e-17,0.0,2.6548901659261134e-16,3.8624065058239286e-16,0.03609020190248855
618,9.92290034557276,-1.1987881692329234,1.3566342366262432,6.262419391251478e-17,1.261413888116224e-16,5.551115123125783e-17,7.020191510779039e-17,5.379466908655088,5.379466908655087,1.651052854830512e-16,3.302105709661024e-16,2.3662829419114213e-16,1.1102230246251565e-16,2.0168989120975458e-16,1.9446232065305008e-16,0.10077698708786809
619,14.810223413723257,-1.1798226307592474,1.9532283076642296,2.73936859213015e-16,3.0842540580990865e-16,2.775557561562892e-16,2.220446049250313e-16,2.5545429689329526,2.554542968932952,1.738429203387255e-16,8.692146016936275e-16,1.3895726803601027e-16,2.220446049250313e-16,2.308565246788568e-16,7.387649375673302e-16,0.06752092605661694
620,72.6444746279453,1.7330377523021934,0.4641998523898422,4.912897327783766e-17,8.698776297093545e-18,1.1102230246251565e-16,1.8610729195778454e-15,12.024936275628994,12.024936275629045,4.283960194201751e-15,1.4772276531730176e-15,1.2417432149729324e-16,0.0,1.2739389668255908e-16,1.5118928837535397e-14,0.013765671857670553
621,2.7039783033811466,-1.6866730548203361,-5.721253248309449,1.1242849518008754e-16,3.2871676923514264e-16,3.5108334685767007e-16,2.4621851405610437e-17,7.644399901914625,7.644399901914625,0.0,0.0,4.693467662349008e-17,0.0,1.8090020996804465e-16,8.165512130573115e-16,0.3698254526486279
622,49.610377242253655,-0.5716738650905487,0.909457571909999,5.454809928113584e-17,2.989959631346564e-17,0.0,5.117875266520903e-16,40.70968723253629,40.70968723253626,6.981559270661407e-16,1.7453898176653518e-16,9.936057063203685e-17,0.0,2.3338967453002773e-16,2.4424906541753444e-15,0.020157073088101
623,27.167671569514088,-0.6809409489153068,-0.8432582655096795,3.5629886617297885e-17,2.202339740567126e-17,2.775557561562892e-16,1.6021483794827829e-15,5.235104853108879,5.235104853108871,1.5269237200768014e-15,1.1876073378375122e-15,1.1168620985643707e-16,1.1102230246251565e-16,9.873999316822794e-17,2.5702298526967383e-15,0.03680845439556621
624,15.965084559644115,1.0543808698361619,2.288678877946324,8.082690229901936e-17,6.518949337679454e-17,2.2887833992611187e-16,2.7755575615628914e-16,23.060877198076955,23.06087719807703,3.2352189647422428e-15,1.540580459401068e-16,3.094729414912753e-17,0.0,1.8507060646226983e-16,9.367166942785322e-16,0.06263668671870135
625,12.940414529820004,-6.656138895939863,2.374753927675446,2.005820387261982e-16,7.492671828989493e-17,1.570092458683775e-16,3.4924289466750046e-17,5.3952842813032085,5.395284281303212,6.584849831012718e-16,3.292424915506359e-16,6.66531762927969e-17,0.0,3.152755455992765e-16,1.3964606026350949e-15,0.07727727714561322
626,41.17468053427803,-2.285053441093653,-4.111691348415102,4.7863035293441014e-17,6.949431594653471e-17,0.0,2.7755575615628914e-16,3.753521377512779,3.753521377512784,1.3014395862020258e-15,1.183126896547296e-16,7.406373414712469e-17,0.0,3.550087227063848e-16,2.795107494330495e-15,0.02428677009813031
627,1.8990075769665915,-3.6896271348017664,0.09040900006759789,6.182692401881825e-17,0.0,5.551115123125784e-17,8.939116770224962e-18,1.8127948758911114,1.812794875891111,2.4497488146956654e-16,0.0,9.101457637137291e-17,1.1102230246251565e-16,1.6426078091841877e-16,8.602823417154391e-16,0.5265908425691306
628,29.77363474169975,-5.2523506828922875,1.288652274072157,1.1899857999261534e-17,0.0,1.1102230246251565e-16,1.1173927427290403e-15,30.000536762509135,30.00053676250917,1.1842167048291721e-15,9.473733638633377e-16,3.995144191689444e-17,0.0,1.1517169921605288e-16,3.053724417349333e-16,0.03358676253925966
629,10.854998210515921,-9.184315742362145,7.3699123531613155,2.7666034249920757e-16,2.639367489425491e-16,4.440892098500626e-16,1.1102230246251565e-16,16.94995650897277,16.949956508972775,2.096001648688483e-16,2.096001648688483e-16,1.204277845094838e-16,1.1102230246251565e-16,2.257563859755827e-16,1.5525492735483089e-15,0.09212346060372924
630,10.695392851171324,-1.4119145884628448,-1.4168074270430107,1.3449712081271507e-16,7.57413041937123e-17,0.0,4.742874840267548e-16,0.7572083192580608,0.7572083192580612,4.440892098500626e-16,6.661338147750939e-16,2.5268747854132697e-17,0.0,1.1777846076533749e-16,2.955750917154526e-15,0.09349820188142827
631,2.3049233776688527,-0.8502359017005078,0.09838449775360725,5.503525926974289e-17,1.562354036714614e-17,2.220446049250313e-16,1.1226911237960248e-16,10.071266683649183,10.071266683649183,0.0,0.0,3.45005186708548e-17,0.0,2.0833804001386286e-16,1.1838043968738116e-16,0.4338539014738867
632,7.347252212086247,-0.21924917695571686,0.6865649196566713,1.165614856584147e-16,2.751214401858965e-17,1.1102230246251565e-16,5.571763530619229e-16,0.9415541231165871,0.9415541231165869,2.220446049250313e-16,8.881784197001252e-16,3.2195505421759097e-17,0.0,2.1265318663499038e-16,1.4260878391472714e-15,0.13610530455930125
633,6.954949338840768,-3.1345338772504663,0.550114490318226,2.1773724515462329e-16,3.061726265813212e-17,1.2412670766236366e-16,1.1722395314840362e-16,0.7832871429552779,0.7832871429552779,0.0,0.0,1.2438858352447733e-16,0.0,2.197174105333024e-16,5.24163850408752e-16,0.1437824995238115
634,14.508082165580856,-1.921351404001809,-1.081007856238649,1.5345652143399095e-16,5.783845539008058e-17,2.2887833992611187e-16,1.2412670766236364e-15,1.3042182261547504,1.3042182261547495,6.810044530038178e-16,8.512555662547722e-16,1.2520696118823409e-16,1.1102230246251565e-16,2.3040516461522793e-16,2.231804726276054e-15,0.06892709791597114
635,20.853693489042705,-0.4423405315391272,-0.10237818914866756,0.0,3.1973620869119965e-17,2.2887833992611187e-16,6.75322301446426e-16,12.551679414951138,12.551679414951149,8.491406356113497e-16,7.076171963427914e-16,1.4539383359508488e-16,0.0,1.293401982319652e-16,4.440892098500626e-16,0.04795313600084431
636,3.3835930286166747,-0.9781428328742958,1.5837339749477746,6.273653173170098e-17,1.1632627838597485e-16,3.1401849173675503e-16,3.1966062955652344e-17,2.5385538679742035,2.538553867974203,1.7493787130247158e-16,1.7493787130247158e-16,1.6655573735103404e-16,2.220446049250313e-16,1.6394410205643733e-16,1.9509685866191045e-16,0.2955438173392957
637,57.03173191829061,-2.3546186349162195,0.4669735187126438,2.5609758824207066e-16,5.2685980013783294e-17,4.47545209131181e-16,2.4545759245143615e-15,24.21885843371867,24.218858433718655,5.867681482219229e-16,2.4937646299431725e-15,1.1927353641796337e-16,2.220446049250313e-16,9.135561127677535e-17,1.5444533564226833e-14,0.01753409841091392
638,34.48717909376817,-3.6524054872514653,-4.662174112328507,2.153350797428008e-16,1.6743146484229647e-16,2.3263411494723067e-16,2.3922189796176593e-17,19.752233945714043,19.752233945714043,0.0,1.7986389228502378e-16,1.5275054394504373e-16,2.220446049250313e-16,2.8761733148021665e-16,1.290552946435386e-15,0.02899628285866439
