case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,2.725,0.0,-8.996886162832893e-283,-8.996886162832893e-283,2.412411205101724e-271,-2.015297124110761e-260
base-broad,2.75,0.0,-2.3784032378582362e-281,-2.3784032378582362e-281,7.147162232463031e-270,-5.105319001679201e-259
base-broad,2.775,0.0,-6.072250979680318e-280,-6.072250979680318e-280,2.0515923916219532e-268,-1.254782514222867e-257
base-broad,2.8000000000000003,0.0,-1.498653320173261e-278,-1.498653320173261e-278,5.7091697090786395e-267,-2.9937353277644156e-256
base-broad,2.825,0.0,-3.5786717815358745e-277,-3.5786717815358745e-277,1.5410674546175746e-265,-6.937272576511902e-255
base-broad,2.85,0.0,-8.274953433122309e-276,-8.274953433122309e-276,4.037131591433698e-264,-1.5621375084260986e-253
base-broad,2.875,0.0,-1.854225512474028e-274,-1.854225512474028e-274,1.026965974893508e-262,-3.419979946170526e-252
base-broad,2.9,0.0,-4.029242564137399e-273,-4.029242564137399e-273,2.538015413842996e-261,-7.28306943137106e-251
base-broad,2.9250000000000003,0.0,-8.496537248344848e-272,-8.496537248344848e-272,6.09683883315082e-260,-1.5093816902996637e-249
base-broad,2.95,0.0,-1.7397936674020443e-270,-1.7397936674020443e-270,1.424291569424126e-258,-3.0456439977992394e-248
base-broad,2.975,0.0,-3.461449688346023e-269,-3.461449688346023e-269,3.2372985834946463e-257,-5.986197912239225e-247
base-broad,3.0,0.0,-6.695445680809599e-268,-6.695445680809599e-268,7.162371942798261e-256,-1.146584969708369e-245
base-broad,3.025,0.0,-1.2598234070269741e-266,-1.2598234070269741e-266,1.5431803408160798e-254,-2.141071281839795e-244
base-broad,3.0500000000000003,0.0,-2.307215200769561e-265,-2.307215200769561e-265,3.2393110623176607e-253,-3.8994868062129336e-243
base-broad,3.075,0.0,-4.114786360057349e-264,-4.114786360057349e-264,6.627510736660314e-252,-6.9296675470850225e-242
base-broad,3.1,0.0,-7.15012231225987e-263,-7.15012231225987e-263,1.3221814117666635e-250,-1.202039424477316e-240
base-broad,3.125,0.0,-1.211175714490196e-261,-1.211175714490196e-261,2.5730663993417767e-249,-2.0360801733845144e-239
base-broad,3.15,0.0,-2.000983198973745e-260,-2.000983198973745e-260,4.886551222576991e-248,-3.369032836099285e-238
base-broad,3.1750000000000003,0.0,-3.225760209042056e-259,-3.225760209042056e-259,9.059691547592663e-247,-5.447662334773441e-237
base-broad,3.2,0.0,-5.076649818075039e-258,-5.076649818075039e-258,1.6403925149048988e-245,-8.6112497288029e-236
base-broad,3.225,0.0,-7.803271940217994e-257,-7.803271940217994e-257,2.901787092935928e-244,-1.33114698813969e-234
base-broad,3.25,0.0,-1.1719830853381395e-255,-1.1719830853381395e-255,5.016754998175857e-243,-2.01297698740817e-233
base-broad,3.275,0.0,-1.7206512557364044e-254,-1.7206512557364044e-254,8.479540550380885e-242,-2.9788607862840425e-232
base-broad,3.3000000000000003,0.0,-2.4703707844521023e-253,-2.4703707844521023e-253,1.4017248288380747e-240,-4.3152150706409844e-231
base-broad,3.325,0.0,-3.4696542699574575e-252,-3.4696542699574575e-252,2.2669383223093413e-239,-6.121170486553359e-230
base-broad,3.35,0.0,-4.768748523831085e-251,-4.768748523831085e-251,3.587940774658598e-238,-8.505151599793292e-229
base-broad,3.375,0.0,-6.415548687879394e-250,-6.415548687879394e-250,5.559277267925594e-237,-1.1579181685451002e-227
base-broad,3.4,0.0,-8.450121976763263e-249,-8.450121976763262e-249,8.435185750282888e-236,-1.5450821639301716e-226
base-broad,3.4250000000000003,0.0,-1.0897945925796598e-247,-1.0897945925796597e-247,1.253738319770936e-234,-2.021296207075529e-225
base-broad,3.45,0.0,-1.3762145162297172e-246,-1.376214516229717e-246,1.8259328893091875e-233,-2.593205681407634e-224
base-broad,3.475,0.0,-1.701520888476299e-245,-1.7015208884762987e-245,2.606485069021453e-232,-3.2635765512312198e-223
base-broad,3.5,0.0,-2.0590873871611003e-244,-2.0590873871611e-244,3.647894426309657e-231,-4.030129854653013e-222
base-broad,3.525,0.0,-2.437704696808352e-243,-2.4377046968083513e-243,5.00688061031391e-230,-4.884596048010928e-221
base-broad,3.5500000000000003,0.0,-2.82107939965009e-242,-2.8210793996500898e-242,6.741381516210999e-229,-5.812140786294154e-220
base-broad,3.575,0.0,-3.18765102439171e-241,-3.1876510243917094e-241,8.906425954987162e-228,-6.791293565377448e-219
base-broad,3.6,0.0,-3.5108376291262867e-240,-3.5108376291262856e-240,1.1549006242830134e-226,-7.7944679647863e-218
base-broad,3.625,0.0,-3.7598053936559715e-239,-3.75980539365597e-239,1.4702245689242195e-225,-8.789100609878456e-217
base-broad,3.65,0.0,-3.9008256366607464e-238,-3.900825636660745e-238,1.8379327206516991e-224,-9.739362836394295e-216
base-broad,3.6750000000000003,0.0,-3.8992316108818415e-237,-3.8992316108818404e-237,2.256779417529508e-223,-1.0608324625991992e-214
base-broad,3.7,0.0,-3.7219184306163277e-236,-3.7219184306163264e-236,2.7224923611955608e-222,-1.1360386069709977e-213
base-broad,3.725,0.0,-3.3402476941637935e-235,-3.340247694163792e-235,3.227487876331572e-221,-1.1963747894106104e-212
