waveform,time,a,a_dot
carrier,5.9,-7.123017696183033e-05,-0.0006695910613587458
carrier,5.925,-8.938184846200313e-05,-0.0007839171542295497
carrier,5.95,-0.0001104904237706237,-0.000905958391343732
carrier,5.9750000000000005,-0.00013473368571459025,-0.0010344643335727587
carrier,6.0,-0.00016225561255760732,-0.0011680026291875105
carrier,6.025,-0.00019316260476975544,-0.001304985496232837
carrier,6.05,-0.00022751813129158507,-0.0014435472507916159
carrier,6.075,-0.0002653352379357541,-0.0015815374248807639
carrier,6.1000000000000005,-0.0003065711420894694,-0.001716660756341037
carrier,6.125,-0.0003511242510259384,-0.0018464925311990881
carrier,6.15,-0.00039882961785895455,-0.0019683800909159263
carrier,6.175,-0.0004494535317654722,-0.0020795004466479757
carrier,6.2,-0.0005026910431299559,-0.002176986105100898
carrier,6.2250000000000005,-0.0005581646178389614,-0.002257880271473336
carrier,6.25,-0.000615421128665199,-0.0023191040271422357
carrier,6.275,-0.0006739302959988893,-0.0023575872144214467
carrier,6.3,-0.000733085791565285,-0.0023703049764449403
carrier,6.325,-0.0007922054627332325,-0.002354215508244071
carrier,6.3500000000000005,-0.0008505317427636415,-0.0023063535585728678
carrier,6.375,-0.0009072349802327703,-0.0022239149370273767
carrier,6.4,-0.000961416807008822,-0.0021041995872293673
carrier,6.425,-0.0010121131081377778,-0.0019446720153412005
carrier,6.45,-0.0010582996570842685,-0.0017430608500497023
carrier,6.4750000000000005,-0.0010988982619778386,-0.0014973112852609178
carrier,6.5,-0.0011327823349292483,-0.0012056283304312098
carrier,6.525,-0.0011587848192040706,-0.0008665718079789804
carrier,6.55,-0.0011757066199317159,-0.00047900991983090775
carrier,6.575,-0.001182324446602979,-4.215910745654985e-05
carrier,6.6000000000000005,-0.0011774007579073646,0.00044433823290833987
carrier,6.625,-0.0011596938270986205,0.0009804665761905412
carrier,6.65,-0.0011279673211422084,0.0015657913669027937
carrier,6.675,-0.001081001696920994,0.0021994110260734035
carrier,6.7,-0.0010176050952976487,0.0028800157451471567
carrier,6.7250000000000005,-0.0009366240077609235,0.00360583255271705
carrier,6.75,-0.0008369552725667125,0.004374619977180908
carrier,6.775,-0.0007175569220248353,0.005183721208958256
carrier,6.8,-0.0005774592075211882,0.00603000892363236
carrier,6.825,-0.00041577610361906783,0.006909928650655939
carrier,6.8500000000000005,-0.00023171531800450065,0.007819527821173258
carrier,6.875,-2.4588810320719957e-05,0.008754424418504646
carrier,6.9,0.00020617737208337362,0.009709885232305074
carrier,6.925,0.00046103451455019545,0.010680821976326537
carrier,6.95,0.0007403023171062762,0.01166181261993437
carrier,6.9750000000000005,0.0010441616734962497,0.012647176507924494
carrier,7.0,0.0013726480164447544,0.013630959233358993
carrier,7.025,0.0017256452493554547,0.014607010438111717
carrier,7.05,0.0021028815564661262,0.015569018384381739
carrier,7.075,0.0025039253800172414,0.016510531041036176
carrier,7.1000000000000005,0.002928183151938182,0.017425046472625914
carrier,7.125,0.0033748981405656857,0.018306015815086608
carrier,7.15,0.0038431500641857145,0.01914692252129907
carrier,7.175,0.004331856733042472,0.019941328097940216
carrier,7.2,0.0048397761409863845,0.020682901791050305
carrier,7.2250000000000005,0.005365510384064168,0.02136550876544021
carrier,7.25,0.005907510684019653,0.021983218433292935
carrier,7.275,0.006464083366968888,0.02253038597122862
carrier,7.3,0.007033397651079937,0.02300168529819254
carrier,7.325,0.007613493872573924,0.023392148475263882
carrier,7.3500000000000005,0.008202293478495323,0.023697233577891257
carrier,7.375,0.008797609669558008,0.023912830612100613
carrier,7.4,0.009397159107830424,0.024035335953599985
carrier,7.425,0.009998574778928388,0.024061657570025107
carrier,7.45,0.010599419179945365,0.023989262137557744
carrier,7.4750000000000005,0.01119719885049157,0.0238162017257868
carrier,7.5,0.011789378920936622,0.023541121948773554
carrier,7.525,0.012373398649411482,0.02316330615061174
carrier,7.55,0.01294668709780728,0.022682657521098347
carrier,7.575,0.013506679108039888,0.022099739476579425
carrier,7.6000000000000005,0.014050831655393727,0.02141575364373399
carrier,7.625,0.014576639844574203,0.020632555765439823
carrier,7.65,0.015081653324258202,0.019752644142063264
carrier,7.675,0.01556349196072245,0.018779143046990247
carrier,7.7,0.01601986165822821,0.017715802435571203
carrier,7.7250000000000005,0.01644856935274839,0.01656695455372035
carrier,7.75,0.016847537651778297,0.015337515340827132
carrier,7.775,0.017214818729686287,0.014032927281085638
carrier,7.8,0.017548607317303865,0.012659150191108791
carrier,7.825,0.01784725303365285,0.011222603123566353
carrier,7.8500000000000005,0.018109271367717356,0.009730135948080216
carrier,7.875,0.018333353984955135,0.00818897809794476
carrier,7.9,0.018518377428016233,0.006606688837995228
carrier,7.925,0.01866341099559768,0.004991114635111873
carrier,7.95,0.018767722948539126,0.0033503218587661943
carrier,7.9750000000000005,0.01883078565795337,0.0016925602039299028
carrier,8.0,0.018852279153066812,2.6184990333579027e-05
carrier,8.025,0.01883209335396226,-0.0016403776980963482
carrier,8.05,0.018770328852228957,-0.003298711166192296
carrier,8.075,0.018667296163691397,-0.004940445136674471
