grid,r,phi,Z,mode
fine,1.6500000000000001,0.7423813946730871,1.1102260270313515,0.10835461947033277
fine,1.7000000000000002,0.7423639961193474,1.1102208605468573,0.10810891776116645
fine,1.75,0.7423456793631064,1.1102154215338145,0.10785623633291573
fine,1.8,0.7423264021736362,1.110209697472811,0.1075966062215877
fine,1.85,0.7423061199759773,1.110203675150758,0.10733005932695448
fine,1.9000000000000001,0.7422847857337972,1.1101973406263739,0.10705662840979005
fine,1.9500000000000002,0.7422623498256852,1.1101906791937495,0.10677634708907498
fine,2.0,0.7422387599145498,1.1101836753438978,0.10648924983917304
fine,2.0500000000000003,0.7422139608097734,1.1101763127241864,0.10619537198698428
fine,2.1,0.7421878943217552,1.1101685740955523,0.1058947497090792
fine,2.15,0.742160499108457,1.110160441287383,0.10558742002881852
fine,2.2,0.7421317105135493,1.1101518951499534,0.10527342081346394
fine,2.25,0.7421014603957284,1.1101429155042946,0.1049527907712849
fine,2.3000000000000003,0.742069676948759,1.110133481089367,0.1046255694486665
fine,2.35,0.7420362845117712,1.110123569506407,0.10429179722722451
fine,2.4000000000000004,0.7420012033693193,1.1101131571603036,0.10395151532093302
fine,2.45,0.7419643495406855,1.1101022191978664,0.10360476577327113
fine,2.5,0.7419256345578837,1.1100907294428237,0.10325159145439436
fine,2.5500000000000003,0.7418849652317984,1.1100786603273973,0.10289203605833781
fine,2.6,0.74184224340586,1.110065982820288,0.10252614410025766
fine,2.6500000000000004,0.7417973656966358,1.1100526663508936,0.10215396091371778
fine,2.7,0.7417502232206825,1.1100386787295864,0.10177553264802892
fine,2.75,0.7417007013069811,1.1100239860638534,0.10139090626564783
fine,2.8000000000000003,0.7416486791942397,1.110008552670112,0.10100012953964432
fine,2.85,0.7415940297123228,1.1099923409809924,0.1006032510512439
fine,2.9000000000000004,0.741536618947031,1.109975311447879,0.10020032018745471
fine,2.95,0.7414763058874233,1.1099574224384918,0.09979138713878691
fine,3.0,0.7414129420548384,1.1099386301292822,0.09937650289707378
fine,3.0500000000000003,0.7413463711127436,1.1099188883924067,0.09895571925340357
fine,3.1,0.741276428456497,1.109898148677044,0.09852908879617163
fine,3.1500000000000004,0.74120294078208,1.1098763598848007,0.09809666490926222
fine,3.2,0.7411257256328221,1.1098534682389554,0.09765850177037087
fine,3.25,0.7410445909230978,1.1098294171472762,0.09721465434947667
fine,3.3000000000000003,0.7409593344379541,1.1098041470581472,0.09676517840747606
fine,3.35,0.7408697433075767,1.1097775953097269,0.0963101304949889
fine,3.4000000000000004,0.740775593455483,1.1097496959718647,0.09584956795134782
fine,3.45,0.7406766490192892,1.1097203796804886,0.0953835489037828
fine,3.5,0.7405726617428705,1.109689573464184,0.09491213226681319
fine,3.5500000000000003,0.740463370338704,1.1096572005626706,0.09443537774185909
fine,3.6,0.7403484998191558,1.109623180236895,0.09395334581708459
fine,3.6500000000000004,0.7402277607954493,1.109587427570449,0.09346609776748663
fine,3.7,0.7401008487430306,1.109549853262031,0.09297369565524158
fine,3.75,0.7399674432320308,1.1095103634086698,0.09247620233032389
fine,3.8000000000000003,0.73982720712151,1.1094688592794428,0.09197368143141049
fine,3.85,0.7396797857161628,1.1094252370794218,0.09146619738708486
fine,3.9000000000000004,0.7395248058841631,1.1093793877036018,0.09095381541735514
fine,3.95,0.7393618751348356,1.10933119648058,0.09043660153550123
fine,4.0,0.7391905806548495,1.1092805429057706,0.08991462255026537
fine,4.05,0.7390104883016677,1.1092273003639739,0.08938794606840134
fine,4.1000000000000005,0.7388211415530063,1.1091713358411375,0.08885664049759784
fine,4.15,0.7386220604111208,1.109112509625194,0.08832077504979094
fine,4.2,0.738412740260791,1.1090506749958902,0.08778041974488143
fine,4.25,0.7381926506799612,1.1089856779035814,0.0872356454148727
fine,4.3,0.7379612342020863,1.1089173566370132,0.08668652370844432
fine,4.3500000000000005,0.7377179050293566,1.1088455414801806,0.08613312709597756
fine,4.4,0.7374620476961139,1.1087700543584291,0.08557552887504787
fine,4.45,0.7371930156819357,1.1086907084740454,0.08501380317639949
fine,4.5,0.7369101299740657,1.108607307931679,0.08444802497041824
fine,4.55,0.7366126775790887,1.1085196473540468,0.08387827007411609
fine,4.6000000000000005,0.7362999099840133,1.1084275114884932,0.08330461515864288
fine,4.65,0.7359710415672238,1.108330674805109,0.08272713775733868
fine,4.7,0.7356252479601012,1.1082289010872721,0.08214591627434012
fine,4.75,0.7352616643605067,1.1081219430156364,0.08156102999375336
fine,4.800000000000001,0.7348793837997513,1.1080095417467803,0.08097255908940527
fine,4.8500000000000005,0.7344774553651694,1.107891426487939,0.0803805846351836
fine,4.9,0.7340548823809664,1.1077673140694668,0.07978518861597522
fine,4.95,0.7336106205506224,1.107636908516934,0.07918645393921075
fine,5.0,0.7331435760648202,1.1074999006250226,0.078584464447022
fine,5.050000000000001,0.7326526036796197,1.1073559675357052,0.07797930492901628
fine,5.1000000000000005,0.7321365047704447,1.1072047723234966,0.07737106113567074
fine,5.15,0.7315940253683563,1.107045963590935,0.07675981979234595
fine,5.2,0.7310238541861124,1.1068791750778237,0.07614566861391663
fine,5.25,0.7304246206426038,1.1067040252881784,0.07552869632001391
fine,5.300000000000001,0.7297948928954657,1.106520117139261,0.07490899265086946
fine,5.3500000000000005,0.7291331758929661,1.1063270376375527,0.0742866483837493
fine,5.4,0.7284379094576803,1.1061243575870152,0.07366175534995963
fine,5.45,0.7277074664159815,1.1059116313355133,0.07303440645240328
fine,5.5,0.7269401507890002,1.1056883965658268,0.07240469568365972
fine,5.550000000000001,0.7261341960624417,1.1054541741382498,0.0717727181445557
fine,5.6000000000000005,0.725287763554496,1.1052084679923766,0.07113857006318754
fine,5.65,0.724398940903015,1.104950765116282,0.07050234881434903
fine,5.7,0.7234657406951867,1.104680535591927,0.06986415293931061
fine,5.75,0.7224860992650565,1.1043972327262475,0.06922408216588895
fine,5.800000000000001,0.7214578756864687,1.1041002932780064,0.06858223742873412
fine,5.8500000000000005,0.7203788509912679,1.1037891377910998,0.06793872088975364
fine,5.9,0.7192467276449163,1.103463171045584,0.0672936359585809
fine,5.95,0.7180591293140182,1.1031217826382411,0.06664708731298402
fine,6.0,0.7168136009625679,1.1027643477049847,0.06599918091909793
fine,6.050000000000001,0.7155076093160104,1.1023902277978226,0.06535002405134922
fine,6.1000000000000005,0.7141385437344019,1.1019987719294184,0.06469972531192811
fine,6.15,0.7127037175380121,1.1015893177985006,0.06404839464964601
fine,6.2,0.7112003698305837,1.1011611932094318,0.06339614337800055
fine,6.25,0.7096256678670865,1.1007137176991617,0.06274308419225162
fine,6.300000000000001,0.7079767100141117,1.1002462043844812,0.06208933118529302
fine,6.3500000000000005,0.7062505293519623,1.0997579620419855,0.06143499986208418
fine,6.4,0.7044440979679374,1.0992482974323723,0.06078020715238557
fine,6.45,0.7025543319901836,1.0987165178796345,0.06012507142151954
fine,6.5,0.7005780974107025,1.09816193411432,0.05946971247885527
fine,6.550000000000001,0.6985122167445619,1.0975838633882804,0.058814251583694056
fine,6.6000000000000005,0.6963534765699596,1.0969816328662139,0.05815881144820688
fine,6.65,0.6940986359904247,1.0963545832967536,0.05750351623705264
