time,radius,case,a,chi
20.0,36.1,5,2.5601291347228096e-07,-1.291468608324746e-08
20.0,36.5,5,2.2564087693351343e-07,-1.140975846103379e-08
20.0,36.9,5,4.82712703349953e-08,-1.0081408390235305e-08
20.0,37.300000000000004,5,-1.9937088254889e-07,-8.908754710347841e-09
20.0,37.7,5,-3.8879365656081035e-07,-7.873407726576664e-09
20.0,38.1,5,-4.182140944287034e-07,-6.959168878535007e-09
20.0,38.5,5,-2.732283605432407e-07,-6.151767040096703e-09
20.0,38.900000000000006,5,-3.941175501163449e-08,-5.438626921725369e-09
20.0,39.300000000000004,5,1.5531824362061738e-07,-4.80866561529805e-09
20.0,39.7,5,2.300142803894976e-07,-4.252113817309876e-09
22.0,0.1,2,0.00013571181919017403,-0.0009413258848754684
22.0,0.5,2,-5.988737693286894e-05,-0.0009383115071355761
22.0,0.9,2,4.81129528079407e-06,-0.0009313008248170442
22.0,1.3,2,0.0002074360262263135,-0.0009203484827534588
22.0,1.7000000000000002,2,-0.00039685527734361205,-0.0009055399228090436
22.0,2.1,2,-0.00275899733332646,-0.0008869910867630024
22.0,2.5,2,-0.0069334602639173305,-0.0008648480436605564
22.0,2.9000000000000004,2,-0.011872787366501653,-0.0008392863150053475
22.0,3.3000000000000003,2,-0.015910564028128543,-0.0008105097927996231
22.0,3.7,2,-0.017598814336267424,-0.0007787495580431109
22.0,4.1000000000000005,2,-0.016406651827701853,-0.000744263206935857
22.0,4.5,2,-0.012915589338771523,-0.0007073351017803465
22.0,4.9,2,-0.008456832133868402,-0.0006682775192327173
22.0,5.300000000000001,2,-0.004434612221573363,-0.0006274325313368502
22.0,5.7,2,-0.0017059782039764498,-0.0005851747299284388
22.0,6.1000000000000005,2,-0.00037191101145693224,-0.0005419151026442872
22.0,6.5,2,5.7918736220092557e-05,-0.0004981060159248636
22.0,6.9,2,0.00014017284976162084,-0.00045424621668654105
22.0,7.300000000000001,2,0.00014335548030901227,-0.000410883064110306
22.0,7.7,2,0.0001363151731045244,-0.0003686067642030386
22.0,8.1,2,0.00012916612206204317,-0.00032802915300426006
22.0,8.5,2,0.0001226505810841054,-0.0002897408344565035
22.0,8.9,2,0.00011667290614924158,-0.00025424938035456345
22.0,9.3,2,0.00011113839989800656,-0.00022191609368359222
22.0,9.700000000000001,2,0.00010596985828570423,-0.00019291709237547781
22.0,10.100000000000001,2,0.00010110626789447358,-0.00016724461609000764
22.0,10.5,2,9.651661312004534e-05,-0.0001447432621999464
22.0,10.9,2,9.215160981370769e-05,-0.0001251617951539911
22.0,11.3,2,8.796905644474793e-05,-0.0001082020842029138
22.0,11.700000000000001,2,8.393797551729038e-05,-9.355571567831774e-05
22.0,12.100000000000001,2,8.00057707763143e-05,-8.092697736068527e-05
22.0,12.5,2,7.614541553970145e-05,-7.004495900631321e-05
22.0,12.9,2,7.23048544148925e-05,-6.0668358527481625e-05
22.0,13.3,2,6.845071328222403e-05,-5.258597381584523e-05
22.0,13.700000000000001,2,6.45294342054018e-05,-4.5614928735731096e-05
22.0,14.100000000000001,2,6.0502724812422075e-05,-3.9597892946117005e-05
22.0,14.5,2,5.631715331618583e-05,-3.440000827498981e-05
22.0,14.9,2,5.192840233961915e-05,-2.9905893107022276e-05
22.0,15.3,2,4.729159483100999e-05,-2.6016897467376056e-05
22.0,15.700000000000001,2,4.236221144386085e-05,-2.264867197224319e-05
22.0,16.1,2,3.711043095873997e-05,-1.972905693839823e-05
22.0,16.5,2,3.1517632331455924e-05,-1.7196270778886065e-05
22.0,16.900000000000002,2,2.5583253904183088e-05,-1.4997365784875636e-05
22.0,17.3,2,1.9336166750054448e-05,-1.3086916752754206e-05
22.0,17.7,2,1.2839541129304943e-05,-1.1425909358825476e-05
22.0,18.1,2,6.19393494067021e-06,-9.980798389597402e-06
22.0,18.5,2,-4.605550558191702e-07,-8.722709692737465e-06
22.0,18.900000000000002,2,-6.946900274813593e-06,-7.626763423515896e-06
22.0,19.3,2,-1.30607411206038e-05,-6.6714995555661185e-06
22.0,19.700000000000003,2,-1.858734551044387e-05,-5.838389607719756e-06
22.0,20.1,2,-2.332390726750318e-05,-5.111421101180739e-06
22.0,20.5,2,-2.7101989865177466e-05,-4.476743433070623e-06
22.0,20.900000000000002,2,-2.980715431293906e-05,-3.92236567795242e-06
22.0,21.3,2,-3.1395553938401855e-05,-3.437898356193091e-06
22.0,21.700000000000003,2,-3.1898925264899914e-05,-3.0143324828129204e-06
22.0,22.1,2,-3.141654453209498e-05,-2.6438502741832937e-06
22.0,22.5,2,-3.0104300234779202e-05,-2.3196627781292702e-06
22.0,22.900000000000002,2,-2.8150959241853124e-05,-2.0358704351989954e-06
22.0,23.3,2,-2.575695805243013e-05,-1.7873431992917975e-06
22.0,23.700000000000003,2,-2.3114245113668182e-05,-1.5696173646240734e-06
22.0,24.1,2,-2.0389588375339702e-05,-1.3788066803935645e-06
22.0,24.5,2,-1.7716944234393356e-05,-1.211525699228855e-06
22.0,24.900000000000002,2,-1.5193781859744636e-05,-1.0648236129148467e-06
22.0,25.3,2,-1.2882868168383529e-05,-9.361270887050568e-07
22.0,25.700000000000003,2,-1.0819023466053491e-05,-8.231908393237282e-07
22.0,26.1,2,-9.011498912410033e-06,-7.240548455410199e-07
22.0,26.5,2,-7.454218143619367e-06,-6.3700730719747e-07
22.0,26.900000000000002,2,-6.1314589560595145e-06,-5.605525315004497e-07
22.0,27.3,2,-5.019765877417844e-06,-4.933830804305132e-07
22.0,27.700000000000003,2,-4.093099735663916e-06,-4.343555955430726e-07
22.0,28.1,2,-3.32727545968679e-06,-3.8246980080235225e-07
22.0,28.5,2,-2.6977149544229933e-06,-3.368502543021852e-07
22.0,28.900000000000002,2,-2.1826684202384043e-06,-2.9673047953271117e-07
22.0,29.3,2,-1.762861077514477e-06,-2.6143915787021937e-07
22.0,29.700000000000003,2,-1.4214126764166507e-06,-2.303881076984641e-07
22.0,30.1,2,-1.1446229698920009e-06,-2.0306181320399508e-07
22.0,30.5,2,-9.205137574116695e-07,-1.7900829828707305e-07
22.0,30.900000000000002,2,-7.392605030474218e-07,-1.578311688392732e-07
22.0,31.3,2,-5.932081527461842e-07,-1.3918267045903927e-07
22.0,31.700000000000003,2,-4.7493641068124805e-07,-1.2275762915600732e-07
22.0,32.1,2,-3.7968487359700657e-07,-1.0828816029217584e-07
22.0,32.5,2,-3.0266102779273957e-07,-9.553904631771338e-08
22.0,32.9,2,-2.4014093541986336e-07,-8.430369707022999e-08
22.0,33.300000000000004,2,-1.905073203053016e-07,-7.440061779487636e-08
22.0,33.7,2,-1.5132190546483152e-07,-6.567031987217869e-08
22.0,34.1,2,-1.1810012817695509e-07,-5.797261774309315e-08
22.0,34.5,2,-9.137907088758059e-08,-5.118426288466628e-08
22.0,34.9,2,-7.22232393601348e-08,-4.519687207249934e-08
22.0,35.300000000000004,2,-5.178366693419033e-08,-3.9915112701500636e-08
22.0,35.7,2,-4.312909147626182e-08,-3.5255112738503406e-08
22.0,36.1,2,-2.4666839908161624e-08,-3.114306704977516e-08
22.0,36.5,2,-2.3185519177746322e-08,-2.7514015467365327e-08
22.0,36.9,2,-2.8214759102289976e-08,-2.4310771105124917e-08
22.0,37.300000000000004,2,3.237066952212095e-08,-2.1482980172291085e-08
22.0,37.7,2,1.5312089361655726e-07,-1.8986296913295425e-08
22.0,38.1,2,2.440253461639761e-07,-1.6781659374988783e-08
22.0,38.5,2,2.137735826465107e-07,-1.4834653507908476e-08
22.0,38.900000000000006,2,4.391436662582033e-08,-1.3114954681094012e-08
22.0,39.300000000000004,2,-1.9148295722912093e-07,-1.1595837060847488e-08
22.0,39.7,2,-3.697765135595194e-07,-1.0253742500069688e-08
22.0,0.1,5,0.00013115406227452988,-0.0009413259099777719
22.0,0.5,5,-6.450640002001415e-05,-0.0009383115332632404
22.0,0.9,5,5.3268978286368557e-08,-0.0009313008537563783
22.0,1.3,5,0.0002024787708509409,-0.0009203485161522328
22.0,1.7000000000000002,5,-0.00040208424885842186,-0.0009055399607493997
22.0,2.1,5,-0.0027645637533970763,-0.000886991126628957
22.0,2.5,5,-0.0069394402357219834,-0.0008648480803356885
22.0,2.9000000000000004,5,-0.011879265009282727,-0.0008392863427143961
22.0,3.3000000000000003,5,-0.015917612620074587,-0.0008105098077608383
22.0,3.7,5,-0.017606503160391942,-0.0007787495603057249
22.0,4.1000000000000005,5,-0.016415050160889153,-0.0007442632001660408
22.0,4.5,5,-0.01292475073278736,-0.0007073350911480634
22.0,4.9,5,-0.008466794134277488,-0.0006682775088862339
22.0,5.300000000000001,5,-0.004445384274884474,-0.0006274325230971207
22.0,5.7,5,-0.0017175290220974707,-0.0005851747236943886
22.0,6.1000000000000005,5,-0.0003841682416519364,-0.0005419150976878226
22.0,6.5,5,4.5080669372672e-05,-0.0004981060117151371
22.0,6.9,5,0.0001269408715962728,-0.00045424621295000653
22.0,7.300000000000001,5,0.00012997828532014695,-0.00041088306071240566
22.0,7.7,5,0.00012309403925465513,-0.0003686067610927306
22.0,8.1,5,0.00011643657468579255,-0.00032802915018135983
22.0,8.5,5,0.00011077225203824424,-0.0002897408319245277
