grid,case,tick,no_pulse_time,delta_cycles,predicted_cycles
fine,6,4,72.3081990958372,-9.387759302718558e-08,-9.440008767884946e-08
fine,6,5,87.5309780415864,-7.670831808318802e-08,-7.694185876667459e-08
time,1,0,11.417057744514485,-0.0,-0.0
time,1,1,26.63979746356033,1.5645324430578504e-08,1.5614196408351546e-08
time,1,2,41.86253484611603,-1.4354574329713728e-09,-1.4538493335818002e-09
time,1,3,57.08527446360075,-3.355106959788382e-08,-3.357075443468415e-08
time,1,4,72.30801928501553,-2.325931993089894e-08,-2.3292214654742786e-08
time,1,5,87.53076042735314,-1.944023474434599e-08,-1.9455027428003217e-08
time,2,0,11.417057744514485,-0.0,-0.0
time,2,1,26.63979746356033,6.295470049454281e-08,6.24567368565716e-08
time,2,2,41.86253484611603,-5.521106386945795e-09,-5.815400134911006e-09
time,2,3,57.08527446360075,-1.3396798006652886e-07,-1.3428305274603416e-07
time,2,4,72.30801928501553,-9.264252996807846e-08,-9.316885301780354e-08
time,2,5,87.53076042735314,-7.758335862595801e-08,-7.782012278140396e-08
time,3,0,11.417057744514485,-0.0,-0.0
time,3,1,26.63979746356033,2.577933396866253e-07,2.498261704976625e-07
time,3,2,41.86253484611603,-1.8552868832250858e-08,-2.3261657484848055e-08
time,3,3,57.08527446360075,-5.320907321128458e-07,-5.37132779969413e-07
time,3,4,72.30801928501553,-3.642535879390024e-07,-3.7267533645545146e-07
time,3,5,87.53076042735314,-3.074924849510733e-07,-3.1128071610584817e-07
time,4,0,11.417057744514485,-0.0,-0.0
time,4,1,26.63979746356033,6.295470049454281e-08,6.24567368565716e-08
time,4,2,41.86253484611603,-5.521106386945795e-09,-5.815400134911006e-09
time,4,3,57.08527446360075,-1.3396798006652886e-07,-1.3428305274603416e-07
time,4,4,72.30801928501553,-9.264252996807846e-08,-9.316885301780354e-08
time,4,5,87.53076042735314,-7.758335862595801e-08,-7.782012278140396e-08
time,5,0,11.417057744514485,-5.452323581934674e-10,-5.452278072447845e-10
time,5,1,26.63979746356033,6.466007376036808e-08,6.416384578420991e-08
time,5,2,41.86253484611603,-7.0735358036944e-09,-7.366963237735978e-09
time,5,3,57.08527446360075,-1.344821971259935e-07,-1.3479634701313512e-07
time,5,4,72.30801928501553,-9.382171951322292e-08,-9.434650130832741e-08
time,5,5,87.53076042735314,-7.651986866601543e-08,-7.675524466542212e-08
time,6,0,11.417057744514485,-5.452323581934674e-10,-5.452278072447845e-10
time,6,1,26.63979746356033,6.466007376036808e-08,6.416384578420991e-08
time,6,2,41.86253484611603,-7.0735358036944e-09,-7.366963237735978e-09
time,6,3,57.08527446360075,-1.344821971259935e-07,-1.3479634701313512e-07
time,6,4,72.30801928501553,-9.382171951322292e-08,-9.434650130832741e-08
time,6,5,87.53076042735314,-7.651986866601543e-08,-7.675524466542212e-08
wide,1,0,11.41705772378539,-0.0,-0.0
wide,1,1,26.639797421392235,1.5645312061333367e-08,1.561418660630823e-08
wide,1,2,41.86253477871095,-1.4354480976920235e-09,-1.4538465329979953e-09
wide,1,3,57.08527436895959,-3.355105886231257e-08,-3.357075116733638e-08
wide,1,4,72.30801916339259,-2.3259315263259264e-08,-2.329221278768692e-08
wide,1,5,87.53076027945998,-1.9440225409066644e-08,-1.9455024627419412e-08
wide,2,0,11.41705772378539,-0.0,-0.0
wide,2,1,26.639797421392235,6.295466151975152e-08,6.245669788178032e-08
wide,2,2,41.86253477871095,-5.521082581983454e-09,-5.815389866103721e-09
wide,2,3,57.08527436895959,-1.3396796046244223e-07,-1.3428304014340704e-07
wide,2,4,72.30801916339259,-9.264252343338292e-08,-9.316884741663595e-08
wide,2,5,87.53076027945998,-7.758334368951104e-08,-7.782011157906874e-08
wide,3,0,11.41705772378539,-0.0,-0.0
wide,3,1,26.639797421392235,2.5779317561909073e-07,2.498260141317334e-07
wide,3,2,41.86253477871095,-1.855281982203427e-08,-2.326161547609098e-08
wide,3,3,57.08527436895959,-5.320906789017535e-07,-5.371327300256684e-07
wide,3,4,72.30801916339259,-3.6425356553433195e-07,-3.72675314984309e-07
wide,3,5,87.53076027945998,-3.074924326735089e-07,-3.112806712965073e-07
wide,4,0,11.41705772378539,-0.0,-0.0
wide,4,1,26.639797421392235,6.295466151975152e-08,6.245669788178032e-08
wide,4,2,41.86253477871095,-5.521082581983454e-09,-5.815389866103721e-09
wide,4,3,57.08527436895959,-1.3396796046244223e-07,-1.3428304014340704e-07
wide,4,4,72.30801916339259,-9.264252343338292e-08,-9.316884741663595e-08
wide,4,5,87.53076027945998,-7.758334368951104e-08,-7.782011157906874e-08
wide,5,0,11.41705772378539,-5.452230229141179e-10,-5.452279239357764e-10
wide,5,1,26.639797421392235,6.466002311647761e-08,6.416380610927268e-08
wide,5,2,41.86253477871095,-7.073530202526791e-09,-7.366957636568368e-09
wide,5,3,57.08527436895959,-1.344821789221988e-07,-1.3479633254345213e-07
wide,5,4,72.30801916339259,-9.382171391205531e-08,-9.434649944127154e-08
wide,5,5,87.53076027945998,-7.651984532781706e-08,-7.675523066250308e-08
wide,6,0,11.41705772378539,-5.452230229141179e-10,-5.452279239357764e-10
wide,6,1,26.639797421392235,6.466002311647761e-08,6.416380610927268e-08
wide,6,2,41.86253477871095,-7.073530202526791e-09,-7.366957636568368e-09
wide,6,3,57.08527436895959,-1.344821789221988e-07,-1.3479633254345213e-07
wide,6,4,72.30801916339259,-9.382171391205531e-08,-9.434649944127154e-08
wide,6,5,87.53076027945998,-7.651984532781706e-08,-7.675523066250308e-08
