grid,case,pattern,amplitude,time,local_chi,upstream_a,delta_chi,predicted_delta_chi,total_energy,charge
fine,3,single,0.008,27.8,0.00046071119882199596,0.0001503449095536683,2.5807897066697054e-09,2.573573523594511e-09,2616.6039029997496,2845.6303907197903
fine,4,single,-0.004,27.8,0.00046070926187713533,-7.517943074749947e-05,6.438448460358362e-10,6.433933808986278e-10,2616.4030166391826,2845.6303907197907
fine,5,counter,0.004,27.8,0.0004607092498859792,6.760851359452743e-05,6.318536899209068e-10,6.314075788055953e-10,2616.408515532724,2845.6303907197903
fine,6,counter,-0.004,27.8,0.0004607092498859792,-6.760851359452743e-05,6.318536899209068e-10,6.314075788055953e-10,2616.408515532724,2845.6303907197903
fine,0,single,0,27.900000000000002,0.000496934759345805,0.0,0.0,0.0,2616.336054518804,2845.6303907195793
fine,1,single,0.002,27.900000000000002,0.0004969349086809205,3.763939867265697e-05,1.4933511556253914e-10,1.4932070586628394e-10,2616.3527950488506,2845.6303907195797
fine,2,single,0.004,27.900000000000002,0.0004969353568596932,7.527690959219014e-05,5.975138881939013e-10,5.972828234651358e-10,2616.403016638993,2845.6303907195806
fine,3,single,0.008,27.900000000000002,0.0004969371521665642,0.00015053871680044146,2.392820759242187e-09,2.389131293860543e-09,2616.603902999558,2845.6303907195797
fine,4,single,-0.004,27.900000000000002,0.0004969353568596932,-7.527690959219014e-05,5.975138881939013e-10,5.972828234651358e-10,2616.403016638993,2845.6303907195806
fine,5,counter,0.004,27.900000000000002,0.0004969353452732451,6.76806766683333e-05,5.859274401385714e-10,5.857009832046172e-10,2616.4085155325342,2845.6303907195797
fine,6,counter,-0.004,27.900000000000002,0.0004969353452732451,-6.76806766683333e-05,5.859274401385714e-10,5.857009832046172e-10,2616.4085155325342,2845.6303907195797
fine,0,single,0,28.0,0.0005323144348246082,0.0,0.0,0.0,2616.3360545186147,2845.630390719369
fine,1,single,0.002,28.0,0.0005323145679293756,3.768812201693761e-05,1.3310476744236854e-10,1.3310385827989535e-10,2616.3527950486614,2845.6303907193696
fine,2,single,0.004,28.0,0.0005323149672534539,7.537419695561496e-05,5.324288456952028e-10,5.324154331195814e-10,2616.403016638804,2845.6303907193715
fine,3,single,0.008,28.0,0.0005323165646944425,0.0001507320168705534,2.1298698343191758e-09,2.1296617324783257e-09,2616.6039029993676,2845.6303907193696
fine,4,single,-0.004,28.0,0.0005323149672534539,-7.537419695561496e-05,5.324288456952028e-10,5.324154331195814e-10,2616.403016638804,2845.6303907193715
fine,5,counter,0.004,28.0,0.0005323149565199224,6.776849578055966e-05,5.216953142270567e-10,5.216854520795523e-10,2616.408515532345,2845.6303907193696
fine,6,counter,-0.004,28.0,0.0005323149565199224,-6.776849578055966e-05,5.216953142270567e-10,5.216854520795523e-10,2616.408515532345,2845.6303907193696
fine,0,single,0,28.1,0.0005667873796151213,0.0,0.0,0.0,2616.336054518426,2845.6303907191595
