sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
2,0.1,base,2,9.383605004131823e-13,2.3780977187470853e-13,8.549754549384594e-13,2.803035581422364e-12,0.16378321836723816
2,0.1,base,3,1.7371770688612287e-11,7.427836123952144e-12,1.3592836711636508e-11,3.076271255004461e-11,0.18451787733212613
2,0.1,base,4,9.953149415764528e-14,9.2148511043888e-15,8.683473538543351e-14,2.649339081450819e-13,0.049913352437096804
2,0.1,base,5,3.394506897791416e-12,1.549316230864406e-12,3.557269339445821e-12,1.1847078873472583e-11,0.04340319448843655
2,0.1,base,6,3.100546467446696e-11,1.63907776240535e-11,2.374311916178624e-11,5.030853511556188e-11,0.9123421244839288
2,0.1,base,7,1.3634982032328935e-11,7.16182668725196e-12,1.1751526441028818e-11,2.626682189289048e-11,0.18451787733236055
2,0.1,base,8,9.064227146637904e-11,3.324518438319046e-11,7.29058360788868e-11,2.2857704617962327e-10,0.6326287803312749
2,0.1,base,9,3.247224711344643e-11,1.1501688490511676e-11,2.425957902483848e-11,9.19038003310762e-11,0.2412004603526178
2,0.1,base,10,5.6483706600829464e-12,2.3419044481443052e-12,5.940998626268188e-12,1.7584489420130467e-11,0.2892981486281865
2,0.1,base,11,1.4416912108572433e-11,6.438294342103745e-12,1.1468033939451085e-11,2.5877804762514218e-11,0.18451787733258707
2,0.1,fine,0,4.872768855079812e-13,2.0561330416057894e-13,3.9256801521648494e-13,1.084604628331931e-12,0.33652957630371255
2,0.1,fine,1,2.9359847886212265e-13,5.562217353372034e-14,2.9167450320900355e-13,8.89843754237063e-13,0.12522503134608137
2,0.1,fine,2,4.1400216588272087e-13,1.2811973704174306e-13,3.7918839473434296e-13,1.2361223156176493e-12,0.16378321836723675
2,0.1,fine,3,9.585554572311139e-12,9.228173780684297e-13,5.836743224219316e-12,1.4300881085884127e-11,0.18451787733215683
2,0.1,fine,4,2.5479618415147343e-14,2.1094237467877974e-15,2.218447019384477e-14,6.769064475609099e-14,0.04991335243722144
