sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
2,0.1,fine,5,1.6082690734720018e-12,7.831513215705854e-13,1.6175938713962802e-12,5.505262912208764e-12,0.043403194488408486
2,0.1,fine,6,2.8971826415737356e-11,1.548305927911997e-11,2.226479285509744e-11,4.7032711059102894e-11,0.9123421244840656
2,0.1,fine,7,7.0990990863606385e-12,9.151568391985165e-13,4.532563483883146e-12,1.0951941903587435e-11,0.18451787733226307
2,0.1,fine,8,3.6987302109992015e-11,2.130939869005033e-11,3.42687017760421e-11,9.909373321903558e-11,0.6326287803286595
2,0.1,fine,9,1.7635115590053374e-11,6.11022343832701e-12,1.310028145856859e-11,4.978591651410661e-11,0.24120046035204154
2,0.1,fine,10,1.7946200081553343e-12,8.817391261572993e-13,1.832762260302539e-12,5.5282445288185045e-12,0.2892981486281323
2,0.1,fine,11,8.044342969526497e-12,9.627854069549358e-13,5.0941967946164424e-12,1.2338208007126302e-11,0.1845178773323687
3,0,base,0,7.31714688839702e-12,5.2156057250840596e-12,8.120873863138495e-12,1.3153589328851467e-11,0.7092252826924198
3,0,base,1,2.5191182473349727e-11,2.1104118452797138e-11,1.4672908829963198e-11,4.301587521084585e-11,0.17893908393484625
3,0,base,2,7.711794442237808e-13,4.1455727739503335e-13,5.976239847790316e-13,1.1410594691341203e-12,0.40276080898394984
3,0,base,3,6.620259895839808e-13,7.149836278586007e-14,5.325078551686562e-13,2.0719675974945062e-12,0.0326637104990799
3,0,base,4,4.1564751640521536e-11,1.7757018078157216e-11,3.457510500006563e-11,1.1127549411746957e-10,0.27110615241981295
3,0,base,5,3.48397641829832e-12,5.121347790293385e-12,4.511707508085179e-12,9.969655384526372e-12,0.7399086241335266
3,0,base,6,2.6070257064247926e-12,1.1214362771738706e-12,2.613686170237479e-12,7.367328969110076e-12,0.3284288681161427
3,0,base,7,4.3864911702939935e-13,5.839773109528323e-14,3.5424729884759694e-13,1.372651992070928e-12,0.03266371049907682
3,0,base,8,5.999738757205129e-13,2.274846977456898e-13,4.3047265225574677e-13,1.4229312172986397e-12,0.2267277748168882
3,0,base,9,2.97101232504815e-12,1.4306333895319767e-12,3.241267074047381e-12,9.23960907783794e-12,0.236131490006535
3,0,base,10,1.4165014028766702e-10,4.9989568040587073e-11,1.0322062898712455e-10,3.508120358461398e-10,0.31362238985004137
3,0,base,11,6.615819003741308e-13,7.083222897108499e-14,5.317364875003661e-13,2.0707463521674185e-12,0.032663710499073156
3,0,fine,0,5.254019441736091e-12,2.908895346820372e-12,5.288787816865862e-12,9.319434113308489e-12,0.7092252826925342
3,0,fine,1,4.201339276477256e-11,1.8069878926496585e-11,3.651929809286573e-11,9.119274602045598e-11,0.17893908393355196
3,0,fine,2,5.9826655321423e-13,3.30069305221059e-13,4.678115790485612e-13,8.823913821842666e-13,0.40276080898401817
3,0,fine,3,2.0483614804334138e-13,2.8865798640254064e-14,1.6982297702005066e-13,6.419170750504577e-13,0.03266371049908024
3,0,fine,4,1.653199799278582e-11,1.0059064692313768e-11,1.7139442045654993e-11,4.918568791028787e-11,0.2711061524185623
3,0,fine,5,2.0982376872275337e-12,3.079314581100334e-12,2.7146087956167174e-12,5.998290060810858e-12,0.7399086241370576
3,0,fine,6,1.3236078899581116e-12,5.699885008425554e-13,1.3276059696308707e-12,3.740452392264615e-12,0.32842886811632466
3,0,fine,7,3.198552533945076e-13,3.4194869158454815e-14,2.567597853013505e-13,1.0012546347581974e-12,0.03266371049907863
3,0,fine,8,2.777494062812639e-13,1.0447198661722616e-13,1.9912620008800725e-13,6.596667656566524e-13,0.22672777481926065
3,0,fine,9,1.3031797863050087e-12,7.364109322338663e-13,1.549274225228388e-12,4.139910636524746e-12,0.2361314900063238
3,0,fine,10,4.8060141216687694e-11,3.1170177550166045e-11,4.3849060493602417e-11,1.3439007947257525e-10,0.3136223898443926
3,0,fine,11,2.000621890374532e-13,2.842170943040401e-14,1.6581913620604128e-13,6.274009090034838e-13,0.032663710499077125
3,0.1,base,0,9.380052290453023e-12,5.166977956605478e-12,9.566355827323403e-12,1.7883139413754634e-11,0.7092252826924101
3,0.1,base,1,7.814104918679732e-11,4.095956906979836e-11,7.249560719425976e-11,1.7686305073639104e-10,0.17893908393739935
3,0.1,base,2,7.657570887565823e-13,4.4164671919588717e-13,6.281570185566219e-13,1.3165024626005106e-12,0.4027608089839392
3,0.1,base,3,3.5427216715788745e-13,4.773959005888172e-14,2.921115098966243e-13,1.1274869926580777e-12,0.03266371049908013
3,0.1,base,4,4.852251933584739e-11,1.50801593434835e-11,4.117071578158203e-11,1.3053458102863716e-10,0.2623145878635182
3,0.1,base,5,3.5684861418054994e-12,4.5176085095022245e-12,4.393246289839094e-12,9.934241517898785e-12,0.7429934909988917
