triad,order,qx,qy,qz,phase
collinear,reverse,-3.141592653589793,0.0,0.0,3.141592653589793
collinear,reverse,0.0,-3.141592653589793,-3.141592653589793,2.4492935982947064e-16
collinear,reverse,0.0,-3.141592653589793,0.0,3.141592653589793
collinear,reverse,0.0,0.0,-3.141592653589793,3.141592653589793
collinear,reverse,0.0,0.0,0.0,0.0
collinear,reverse,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,1.5707963267948968
collinear,reverse,-1.5707963267948966,-1.5707963267948966,1.5707963267948966,1.5707963267948966
collinear,reverse,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,1.5707963267948966
collinear,reverse,-1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966
collinear,reverse,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,1.5707963267948966
collinear,reverse,1.5707963267948966,-1.5707963267948966,1.5707963267948966,1.5707963267948966
collinear,reverse,1.5707963267948966,1.5707963267948966,-1.5707963267948966,1.5707963267948966
collinear,reverse,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948968
