triad,order,radius,direction,group_x,group_y,group_z,cone_x,cone_y,cone_z
orthogonal,forward,0.16000000000000003,2,-0.5383750228071804,-0.538375022809956,0.538375022809956,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,forward,0.15999999999999998,3,-0.7048355791766657,-0.08008503088186014,-0.7048355791766657,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,forward,0.16,4,-1.0000000000037756,5.551115123125782e-12,5.551115123125782e-12,-1.0,0.0,0.0
orthogonal,forward,0.15999999999999998,5,-0.7048355791738902,0.08008503088186014,0.7048355791766657,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,forward,0.16000000000000003,6,-0.5383750228127315,0.538375022809956,-0.538375022809956,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.15999999999999998,7,-0.7048355791738902,0.7048355791766657,0.08008503087908458,-0.7071067811865476,0.7071067811865476,0.0
orthogonal,forward,0.16000000000000003,8,-0.6097545963923423,0.6097545963923423,0.6097545963951179,-0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,forward,0.15999999999999998,9,-0.08008503087908458,-0.7048355791794413,-0.7048355791738902,0.0,-0.7071067811865476,-0.7071067811865476
orthogonal,forward,0.16,10,0.0,-1.0000000000037756,0.0,0.0,-1.0,0.0
orthogonal,forward,0.15999999999999998,11,0.08008503087908458,-0.7048355791766657,0.7048355791738902,0.0,-0.7071067811865476,0.7071067811865476
orthogonal,forward,0.16,12,0.0,0.0,-1.0000000000037756,0.0,0.0,-1.0
orthogonal,forward,0.16,13,0.0,0.0,1.0000000000037756,0.0,0.0,1.0
orthogonal,forward,0.15999999999999998,14,0.08008503087908458,0.7048355791794413,-0.7048355791738902,0.0,0.7071067811865476,-0.7071067811865476
orthogonal,forward,0.16,15,0.0,1.0000000000037756,0.0,0.0,1.0,0.0
orthogonal,forward,0.15999999999999998,16,-0.08008503087908458,0.7048355791766657,0.7048355791738902,0.0,0.7071067811865476,0.7071067811865476
orthogonal,forward,0.16000000000000003,17,0.5383750228127315,-0.538375022809956,-0.538375022809956,0.5773502691896257,-0.5773502691896257,-0.5773502691896257
