triad,order,radius,direction,qx,qy,qz,phase,continuum,cone_error
orthogonal,reverse,0.019999999999999997,7,-0.014142135623730949,0.014142135623730949,0.0,0.01999966665499974,0.019999999999999997,3.333422222834825e-05
orthogonal,reverse,0.020000000000000004,8,-0.011547005383792518,0.011547005383792518,0.011547005383792518,0.01992242508897903,0.020000000000000004,0.007742446435047707
orthogonal,reverse,0.019999999999999997,9,0.0,-0.014142135623730949,-0.014142135623730949,0.019999666654999766,0.019999999999999997,3.333422222590879e-05
orthogonal,reverse,0.02,10,0.0,-0.02,0.0,0.02000000000000003,0.02,3.1170812458958252e-15
orthogonal,reverse,0.019999999999999997,11,0.0,-0.014142135623730949,0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,reverse,0.02,12,0.0,0.0,-0.02,0.02000000000000003,0.02,3.1170812458958252e-15
orthogonal,reverse,0.02,13,0.0,0.0,0.02,0.020000000000000087,0.02,8.673617379884035e-15
orthogonal,reverse,0.019999999999999997,14,0.0,0.014142135623730949,-0.014142135623730949,0.019999666654999766,0.019999999999999997,3.333422222590879e-05
orthogonal,reverse,0.02,15,0.0,0.02,0.0,0.020000000000000077,0.02,7.589415207398531e-15
orthogonal,reverse,0.019999999999999997,16,0.0,0.014142135623730949,0.014142135623730949,0.01999966665499981,0.019999999999999997,3.3334222221300934e-05
orthogonal,reverse,0.020000000000000004,17,0.011547005383792518,-0.011547005383792518,-0.011547005383792518,0.020076389722326483,0.020000000000000004,0.007653560706840698
orthogonal,reverse,0.019999999999999997,18,0.014142135623730949,-0.014142135623730949,0.0,0.01999966665499974,0.019999999999999997,3.333422222834825e-05
orthogonal,reverse,0.020000000000000004,19,0.011547005383792518,-0.011547005383792518,0.011547005383792518,0.01992242508897902,0.020000000000000004,0.007742446435048791
orthogonal,reverse,0.019999999999999997,20,0.014142135623730949,0.0,-0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,reverse,0.02,21,0.02,0.0,0.0,0.02000000000000008,0.02,7.995991022080595e-15
orthogonal,reverse,0.019999999999999997,22,0.014142135623730949,0.0,0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,reverse,0.020000000000000004,23,0.011547005383792518,0.011547005383792518,-0.011547005383792518,0.01992242508897902,0.020000000000000004,0.007742446435048791
orthogonal,reverse,0.019999999999999997,24,0.014142135623730949,0.014142135623730949,0.0,0.01999966665499983,0.019999999999999997,3.3334222219268055e-05
orthogonal,reverse,0.020000000000000004,25,0.011547005383792518,0.011547005383792518,0.011547005383792518,0.02007638972232649,0.020000000000000004,0.007653560706841376
orthogonal,reverse,0.04000000000000001,0,-0.023094010767585035,-0.023094010767585035,-0.023094010767585035,0.03968730257233311,0.04000000000000001,0.015573759082551375
orthogonal,reverse,0.039999999999999994,1,-0.028284271247461898,-0.028284271247461898,0.0,0.03999733295997526,0.039999999999999994,0.0001333475555473916
orthogonal,reverse,0.04000000000000001,2,-0.023094010767585035,-0.023094010767585035,0.023094010767585035,0.04030321583410345,0.04000000000000001,0.015218254106453919
orthogonal,reverse,0.039999999999999994,3,-0.028284271247461898,0.0,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04,4,-0.04,0.0,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,reverse,0.039999999999999994,5,-0.028284271247461898,0.0,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04000000000000001,6,-0.023094010767585035,0.023094010767585035,-0.023094010767585035,0.04030321583410345,0.04000000000000001,0.015218254106453919
orthogonal,reverse,0.039999999999999994,7,-0.028284271247461898,0.028284271247461898,0.0,0.03999733295997526,0.039999999999999994,0.0001333475555473916
orthogonal,reverse,0.04000000000000001,8,-0.023094010767585035,0.023094010767585035,0.023094010767585035,0.03968730257233311,0.04000000000000001,0.015573759082551375
orthogonal,reverse,0.039999999999999994,9,0.0,-0.028284271247461898,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04,10,0.0,-0.04,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,reverse,0.039999999999999994,11,0.0,-0.028284271247461898,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04,12,0.0,0.0,-0.04,0.040000000000000036,0.04,1.7618285302889447e-15
orthogonal,reverse,0.04,13,0.0,0.0,0.04,0.040000000000000036,0.04,1.7618285302889447e-15
orthogonal,reverse,0.039999999999999994,14,0.0,0.028284271247461898,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04,15,0.0,0.04,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,reverse,0.039999999999999994,16,0.0,0.028284271247461898,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04000000000000001,17,0.023094010767585035,-0.023094010767585035,-0.023094010767585035,0.04030321583410345,0.04000000000000001,0.015218254106453919
orthogonal,reverse,0.039999999999999994,18,0.028284271247461898,-0.028284271247461898,0.0,0.03999733295997526,0.039999999999999994,0.0001333475555473916
orthogonal,reverse,0.04000000000000001,19,0.023094010767585035,-0.023094010767585035,0.023094010767585035,0.03968730257233306,0.04000000000000001,0.01557375908255422
orthogonal,reverse,0.039999999999999994,20,0.028284271247461898,0.0,-0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04,21,0.04,0.0,0.0,0.040000000000000056,0.04,2.710505431213761e-15
orthogonal,reverse,0.039999999999999994,22,0.028284271247461898,0.0,0.028284271247461898,0.039997332959975165,0.039999999999999994,0.0001333475555522705
orthogonal,reverse,0.04000000000000001,23,0.023094010767585035,0.023094010767585035,-0.023094010767585035,0.039687302572333126,0.04000000000000001,0.015573759082550697
orthogonal,reverse,0.039999999999999994,24,0.028284271247461898,0.028284271247461898,0.0,0.03999733295997526,0.039999999999999994,0.0001333475555473916
orthogonal,reverse,0.04000000000000001,25,0.023094010767585035,0.023094010767585035,0.023094010767585035,0.04030321583410345,0.04000000000000001,0.015218254106453919
orthogonal,reverse,0.08000000000000002,0,-0.04618802153517007,-0.04618802153517007,-0.04618802153517007,0.07872980825591992,0.08000000000000002,0.03150270187282589
orthogonal,reverse,0.07999999999999999,1,-0.056568542494923796,-0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,reverse,0.08000000000000002,2,-0.04618802153517007,-0.04618802153517007,0.04618802153517007,0.08119433633354425,0.08000000000000002,0.030081289475734654
orthogonal,reverse,0.07999999999999999,3,-0.056568542494923796,0.0,-0.056568542494923796,0.07997865471681649,0.07999999999999999,0.0005335608887882311
orthogonal,reverse,0.08,4,-0.08,0.0,0.0,0.08000000000000007,0.08,1.7618285302889447e-15
orthogonal,reverse,0.07999999999999999,5,-0.056568542494923796,0.0,0.056568542494923796,0.07997865471681649,0.07999999999999999,0.0005335608887882311
orthogonal,reverse,0.08000000000000002,6,-0.04618802153517007,0.04618802153517007,-0.04618802153517007,0.08119433633354425,0.08000000000000002,0.030081289475734654
orthogonal,reverse,0.07999999999999999,7,-0.056568542494923796,0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
