sample,direction,field,branch,omega,null_polynomial,z
1,0,0,0,-1.0730113769676095,-2.2188209752297304e-16,1.1001848987915417
1,0,0,1,1.2158204815973022,-4.203550565223547e-16,1.1001848987915417
1,0,1,0,-1.0730113769676095,-2.2188209752297304e-16,1.1001848987915417
1,0,1,1,1.2158204815973022,-4.203550565223547e-16,1.1001848987915417
1,0,2,0,-1.0730113769676095,-2.2188209752297304e-16,1.1001848987915417
1,0,2,1,1.2158204815973022,-4.203550565223547e-16,1.1001848987915417
1,0,3,0,-1.0730113769676095,-2.2188209752297304e-16,1.1001848987915417
1,0,3,1,1.2158204815973022,-4.203550565223547e-16,1.1001848987915417
1,0,4,0,-1.0730113769676095,-2.2188209752297304e-16,1.1001848987915417
1,0,4,1,1.2158204815973022,-4.203550565223547e-16,1.1001848987915417
1,0,5,0,-1.0730113769676095,-2.2188209752297304e-16,1.1001848987915417
1,0,5,1,1.2158204815973022,-4.203550565223547e-16,1.1001848987915417
1,1,0,0,-0.9590334665302905,-5.179897356249301e-16,1.1001848987915417
1,1,0,1,1.3401815119049527,-5.783401259624124e-16,1.1001848987915417
1,1,1,0,-0.9590334665302905,-5.179897356249301e-16,1.1001848987915417
1,1,1,1,1.3401815119049527,-5.783401259624124e-16,1.1001848987915417
1,1,2,0,-0.9590334665302905,-5.179897356249301e-16,1.1001848987915417
1,1,2,1,1.3401815119049527,-5.783401259624124e-16,1.1001848987915417
1,1,3,0,-0.9590334665302905,-5.179897356249301e-16,1.1001848987915417
1,1,3,1,1.3401815119049527,-5.783401259624124e-16,1.1001848987915417
1,1,4,0,-0.9590334665302905,-5.179897356249301e-16,1.1001848987915417
1,1,4,1,1.3401815119049527,-5.783401259624124e-16,1.1001848987915417
1,1,5,0,-0.9590334665302905,-5.179897356249301e-16,1.1001848987915417
1,1,5,1,1.3401815119049527,-5.783401259624124e-16,1.1001848987915417
1,2,0,0,-0.9419498262814943,-5.551115123125783e-16,1.1001848987915417
1,2,0,1,0.9073716027953045,-5.551115123125783e-16,1.1001848987915417
1,2,1,0,-0.9419498262814943,-5.551115123125783e-16,1.1001848987915417
1,2,1,1,0.9073716027953045,-5.551115123125783e-16,1.1001848987915417
1,2,2,0,-0.9419498262814943,-5.551115123125783e-16,1.1001848987915417
1,2,2,1,0.9073716027953045,-5.551115123125783e-16,1.1001848987915417
1,2,3,0,-0.9419498262814943,-5.551115123125783e-16,1.1001848987915417
1,2,3,1,0.9073716027953045,-5.551115123125783e-16,1.1001848987915417
1,2,4,0,-0.9419498262814943,-5.551115123125783e-16,1.1001848987915417
1,2,4,1,0.9073716027953045,-5.551115123125783e-16,1.1001848987915417
1,2,5,0,-0.9419498262814943,-5.551115123125783e-16,1.1001848987915417
