case,time,source_a,inverse_a
finest-broad,7.8,0.0,0.0
finest-broad,7.825,0.0,0.0
finest-broad,7.8500000000000005,0.0,0.0
finest-broad,7.875,0.0,0.0
finest-broad,7.9,0.0,0.0
finest-broad,7.925,0.0,0.0
finest-broad,7.95,0.0,0.0
finest-broad,7.9750000000000005,0.0,0.0
finest-broad,8.0,0.0,0.0
finest-broad,8.025,0.0,0.0
finest-broad,8.05,0.0,0.0
finest-broad,8.075,0.0,0.0
finest-broad,8.1,0.0,0.0
finest-broad,8.125,0.0,0.0
finest-broad,8.15,0.0,0.0
finest-broad,8.175,0.0,0.0
finest-broad,8.2,0.0,0.0
finest-broad,8.225,0.0,0.0
finest-broad,8.25,0.0,0.0
finest-broad,8.275,0.0,0.0
finest-broad,8.3,0.0,0.0
finest-broad,8.325,0.0,0.0
finest-broad,8.35,0.0,0.0
finest-broad,8.375,0.0,0.0
finest-broad,8.4,0.0,0.0
finest-broad,8.425,0.0,0.0
finest-broad,8.45,0.0,0.0
finest-broad,8.475,0.0,0.0
finest-broad,8.5,0.0,0.0
finest-broad,8.525,0.0,0.0
finest-broad,8.55,0.0,0.0
finest-broad,8.575000000000001,0.0,0.0
finest-broad,8.6,0.0,0.0
finest-broad,8.625,0.0,0.0
finest-broad,8.65,0.0,0.0
finest-broad,8.675,0.0,0.0
finest-broad,8.700000000000001,0.0,0.0
finest-broad,8.725,0.0,0.0
finest-broad,8.75,0.0,0.0
finest-broad,8.775,0.0,0.0
finest-broad,8.8,0.0,0.0
finest-broad,8.825000000000001,0.0,0.0
finest-broad,8.85,0.0,0.0
finest-broad,8.875,0.0,0.0
finest-broad,8.9,0.0,0.0
finest-broad,8.925,0.0,0.0
finest-broad,8.950000000000001,0.0,0.0
finest-broad,8.975,0.0,0.0
finest-broad,9.0,0.0,0.0
finest-broad,9.025,0.0,0.0
finest-broad,9.05,0.0,0.0
finest-broad,9.075000000000001,0.0,0.0
finest-broad,9.1,0.0,0.0
finest-broad,9.125,0.0,0.0
finest-broad,9.15,0.0,0.0
finest-broad,9.175,0.0,0.0
finest-broad,9.200000000000001,0.0,0.0
finest-broad,9.225,0.0,0.0
finest-broad,9.25,0.0,0.0
finest-broad,9.275,0.0,0.0
finest-broad,9.3,0.0,0.0
finest-broad,9.325000000000001,0.0,0.0
finest-broad,9.35,0.0,0.0
finest-broad,9.375,0.0,0.0
finest-broad,9.4,0.0,0.0
finest-broad,9.425,0.0,0.0
finest-broad,9.450000000000001,0.0,0.0
finest-broad,9.475,0.0,0.0
finest-broad,9.5,0.0,0.0
finest-broad,9.525,0.0,0.0
finest-broad,9.55,0.0,0.0
finest-broad,9.575000000000001,0.0,0.0
finest-broad,9.6,0.0,0.0
finest-broad,9.625,0.0,0.0
finest-broad,9.65,0.0,0.0
finest-broad,9.675,0.0,0.0
finest-broad,9.700000000000001,0.0,0.0
finest-broad,9.725,0.0,0.0
finest-broad,9.75,0.0,0.0
finest-broad,9.775,0.0,0.0
finest-broad,9.8,0.0,0.0
finest-broad,9.825000000000001,0.0,0.0
finest-broad,9.85,0.0,0.0
finest-broad,9.875,0.0,0.0
finest-broad,9.9,0.0,0.0
finest-broad,9.925,0.0,0.0
finest-broad,9.950000000000001,0.0,0.0
finest-broad,9.975,0.0,0.0
finest-broad,10.0,0.0,0.0
finest-broad,10.025,0.0,0.0
finest-broad,10.05,0.0,0.0
finest-broad,10.075000000000001,0.0,0.0
finest-broad,10.1,0.0,0.0
finest-broad,10.125,0.0,0.0
finest-broad,10.15,0.0,0.0
finest-broad,10.175,0.0,0.0
finest-broad,10.200000000000001,0.0,0.0
finest-broad,10.225,0.0,0.0
finest-broad,10.25,0.0,0.0
finest-broad,10.275,0.0,0.0
