time,pulse,a,a_t,a_r,incoming,outgoing
12.98,1,1.084409106429445,-1.2697229119749618,-1.3428764064214822,-17.745990675560385,-0.03013009208907924
13.0,0,-0.011333737853218463,-0.0018693898666740185,0.002692805544658641,9.704081928312708e-05,-0.026268498952719387
13.0,1,1.0589970636967696,-1.271292682699789,-1.3426660054855386,-17.76821228544891,-0.029885272348137093
13.02,0,-0.0113708661480597,-0.0018435540792961606,0.0026721442986576602,0.00011469846150064661,-0.025924455571646896
13.02,1,1.0335649068927784,-1.271736436045632,-1.3413336877387998,-17.774708413044635,-0.02960169159421433
13.040000000000001,0,-0.0114074849813785,-0.001818453527791181,0.00265017156187494,0.000118283747897064,-0.025576633136973597
13.040000000000001,1,1.0081350236036202,-1.2710677261056316,-1.3388941639130505,-17.765665718328965,-0.029282447149878266
13.06,0,-0.011443609261949253,-0.0017940891632777704,0.0026268665440837393,0.00010763703466715527,-0.025224885320555942
13.06,1,0.9827295140597297,-1.269301712664253,-1.3353636775410986,-17.741292974407596,-0.0289310028919445
13.08,0,-0.011479252758794996,-0.001770347337310235,0.002602301825746098,8.405503965354041e-05,-0.02486891776199683
13.08,1,0.9573701603707764,-1.2664550246698458,-1.330759899410786,-17.701819388379036,-0.028550956998806498
13.1,0,-0.011514425918389163,-0.0017470122692752894,0.0025766343746431125,5.014177838017983e-05,-0.024508313548234233
13.1,1,0.9320783985607799,-1.2625456182674875,-1.3251018178416154,-17.647492853483328,-0.028145802261493102
13.120000000000001,0,-0.01154913401999957,-0.0017237871402153155,0.0025500873764067494,9.534643340254612e-06,-0.02414255460635467
13.120000000000001,1,0.9068752934200071,-1.2575926385901568,-1.3184096311452904,-17.578578241438127,-0.02771869882406719
13.14,0,-0.011583375824753757,-0.0017003220381298905,0.0025229249392753547,-3.3467604358627945e-05,-0.02377104092945984
13.14,1,0.8817815160099924,-1.251616294012943,-1.3107046482553462,-17.495355837873028,-0.02727227830817469
13.16,0,-0.011617142834030184,-0.0016762465479334566,0.002495422498582873,-7.433976246917773e-05,-0.023393111908599214
13.16,1,0.8568173234949753,-1.244637750357492,-1.302009202640898,-17.39812000924124,-0.026808495763644302
13.18,0,-0.011650419225105919,-0.0016512044418960999,0.002467836201363319,-0.00010878729628242823,-0.02300807489026297
