sample,condition_coframe,z,hessian_error,equation_error,lapse,shift_x
102,1.2385312557446322,1.1070798786206075,6.757913091096877e-16,2.220446049250313e-16,1.017884401630521,-0.04340112993579854
103,1.4853096480316887,1.0358399008305352,2.972494006072318e-16,1.9526078549838955e-16,0.8326676674160751,0.19666012279421638
104,1.448399431316443,1.0788667087765564,3.1381825265410443e-16,2.896534416853935e-17,1.1423463352769154,-0.1440950181108929
105,1.4159834727552303,1.0851672630456444,3.087929008264803e-16,1.3769310604325754e-16,0.8686541221378838,-0.044551046802787216
106,1.3587338281521246,1.1021134641570178,3.7293674028475255e-16,1.0215918379508581e-16,1.1828746290847074,-0.06933569788163808
107,1.409560002670638,1.0388713308381947,2.397285776532571e-16,2.1591196502233897e-16,0.9029530709638548,0.11273017501321912
108,1.3265861278254514,1.133988133380893,3.2186365290144673e-16,1.5278957820601825e-16,1.0609658195931075,0.19053730284024364
109,1.4110862170401135,1.0661453032737023,5.73470829790197e-16,1.876330409236007e-16,1.091120017027058,0.07100927758380826
110,1.3926386787589016,1.0848244538972267,3.828355018205521e-16,0.0,1.1651546616283093,-0.11849430217574551
111,1.338482020975274,1.1182780499607259,4.913991852170559e-16,6.865345051682808e-17,1.0247614070651,-0.13999405404318138
112,1.1724628061694193,1.056777657771795,4.000671850407357e-16,1.0234912282599991e-16,0.9899057886476417,-0.05775923522717494
113,1.4030173689075476,1.0779920746417235,6.577879998571865e-16,5.551115123125783e-17,0.9451657882331074,0.14560477718736614
114,1.3925360398018032,1.0819023858148196,3.095919294790649e-16,5.2280880571558154e-17,0.8755788793146491,-0.06282603666919487
115,1.6297501997924906,1.1048633454022083,2.867421566351322e-16,1.4960914304023752e-16,1.1704867408834057,0.049309949896657164
116,1.3798283141913814,1.0909760327936586,3.487941526210042e-16,0.0,1.1377911490857402,0.09123391023967825
117,1.3819218236805126,1.0586581343362367,4.488348716837326e-16,6.990347247143186e-17,1.0400991454344657,0.06544568429659965
118,1.3461120874419799,1.0614648280374857,3.694961003830599e-16,8.438662866812772e-17,1.1216193079185985,-0.06390647253787625
119,1.3466910769464782,1.093656148227316,2.9556932702873327e-16,1.4374072444546501e-16,0.8584678596316443,0.12873100755804484
120,1.5027145817321776,1.062689072198091,3.832597533194397e-16,2.167476971051692e-16,0.8565635668543943,-0.17677944566523393
121,1.5218909060288073,1.0631420444364224,3.120559194792865e-16,1.5866852274989037e-16,0.8643243513009814,-0.18156119138319046
122,1.2443051666888691,1.0357509709139785,4.0388177807263043e-16,1.034658288470329e-16,1.1169671695510845,0.05181410128686826
123,1.4097223820194682,1.1102582358891704,3.568934584025025e-16,1.0574949389472748e-16,1.0393500761339463,0.032385824411908626
124,1.3579801291722209,1.0649569691753298,2.735412728079148e-16,2.7755575615628914e-17,0.9352155502226119,0.11880023038430321
125,1.5134130215644093,1.1137873109055416,3.1946577256122745e-16,8.510180713259973e-17,1.007966581239852,0.19213198188712374
126,1.579436194149197,1.091508310829073,6.88022973833046e-16,8.054850803415424e-17,0.8224507074749767,0.14795390217832885
127,1.2700869759891507,1.0914885735190014,4.440892098500626e-16,1.1102230246251565e-16,1.1106855703271261,-0.027313619931322863
