case,time,source_a,inverse_a,causal_a,retained_error_a,discarded_error_a
finest-broad,3.075,0.0,0.0,0.0,0.0,0.0
finest-broad,3.0875000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1125000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1500000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1625,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1750000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.1875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.2,0.0,0.0,0.0,0.0,0.0
finest-broad,3.2125000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.225,0.0,0.0,0.0,0.0,0.0
finest-broad,3.2375000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.25,0.0,0.0,0.0,0.0,0.0
finest-broad,3.2625,0.0,0.0,0.0,0.0,0.0
finest-broad,3.2750000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.2875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.3000000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.3125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.325,0.0,0.0,0.0,0.0,0.0
finest-broad,3.3375000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.35,0.0,0.0,0.0,0.0,0.0
finest-broad,3.3625000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.3875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.4000000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.4125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.4250000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.4375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.45,0.0,0.0,0.0,0.0,0.0
finest-broad,3.4625000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.475,0.0,0.0,0.0,0.0,0.0
finest-broad,3.4875000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5250000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5500000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5625,0.0,0.0,0.0,0.0,0.0
finest-broad,3.575,0.0,0.0,0.0,0.0,0.0
finest-broad,3.5875000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6125000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.625,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6500000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6625,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6750000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.6875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.7,0.0,0.0,0.0,0.0,0.0
finest-broad,3.7125000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.725,0.0,0.0,0.0,0.0,0.0
finest-broad,3.7375000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.75,0.0,0.0,0.0,0.0,0.0
finest-broad,3.7625,0.0,0.0,0.0,0.0,0.0
finest-broad,3.7750000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.7875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.8000000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.8125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.825,0.0,0.0,0.0,0.0,0.0
finest-broad,3.8375000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.85,0.0,0.0,0.0,0.0,0.0
finest-broad,3.8625000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.8875,0.0,0.0,0.0,0.0,0.0
finest-broad,3.9000000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.9125,0.0,0.0,0.0,0.0,0.0
finest-broad,3.9250000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,3.9375,0.0,0.0,0.0,0.0,0.0
finest-broad,3.95,0.0,0.0,0.0,0.0,0.0
finest-broad,3.9625000000000004,0.0,0.0,0.0,0.0,0.0
finest-broad,3.975,0.0,0.0,0.0,0.0,0.0
finest-broad,3.9875000000000003,0.0,0.0,0.0,0.0,0.0
finest-broad,4.0,0.0,0.0,0.0,0.0,0.0
finest-broad,4.0125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.025,0.0,0.0,0.0,0.0,0.0
finest-broad,4.0375000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.05,0.0,0.0,0.0,0.0,0.0
finest-broad,4.0625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.075,0.0,0.0,0.0,0.0,0.0
finest-broad,4.0875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.1000000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.1125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.1375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.15,0.0,0.0,0.0,0.0,0.0
finest-broad,4.1625000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.175,0.0,0.0,0.0,0.0,0.0
finest-broad,4.1875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.2,0.0,0.0,0.0,0.0,0.0
finest-broad,4.2125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.2250000000000005,0.0,0.0,0.0,0.0,0.0
