lambda,step,event,input_wire,ancestor,response
0.1,1e-05,10,10,1,8.293658861543278
0.1,1e-05,10,11,0,0.0
0.1,1e-05,11,0,0,0.0
0.1,1e-05,11,1,0,0.0
0.1,1e-05,11,2,0,0.0
0.1,1e-05,11,3,0,0.0
0.1,1e-05,11,4,0,0.0
0.1,1e-05,11,5,0,0.0
0.1,1e-05,11,6,1,1.6627263419169287
0.1,1e-05,11,7,1,1.6441280858239735
0.1,1e-05,11,8,0,0.0
0.1,1e-05,11,9,0,0.0
0.1,1e-05,11,10,0,0.0
0.1,1e-05,11,11,1,1.5663416517874695
0.1,5e-06,0,0,1,2.2961746101631992
0.1,5e-06,0,1,1,2.3358533112705375
0.1,5e-06,0,2,0,0.0
0.1,5e-06,0,3,0,0.0
0.1,5e-06,0,4,0,0.0
0.1,5e-06,0,5,0,0.0
0.1,5e-06,0,6,0,0.0
0.1,5e-06,0,7,0,0.0
0.1,5e-06,0,8,1,2.8337694831208857
0.1,5e-06,0,9,0,0.0
0.1,5e-06,0,10,0,0.0
0.1,5e-06,0,11,0,0.0
0.1,5e-06,1,0,0,0.0
0.1,5e-06,1,1,0,0.0
0.1,5e-06,1,2,1,1.3640512388656139
0.1,5e-06,1,3,1,1.3516627158875207
0.1,5e-06,1,4,0,0.0
0.1,5e-06,1,5,0,0.0
0.1,5e-06,1,6,0,0.0
0.1,5e-06,1,7,0,0.0
0.1,5e-06,1,8,0,0.0
0.1,5e-06,1,9,1,1.3654612991107626
0.1,5e-06,1,10,0,0.0
0.1,5e-06,1,11,0,0.0
0.1,5e-06,2,0,0,0.0
0.1,5e-06,2,1,0,0.0
0.1,5e-06,2,2,0,0.0
0.1,5e-06,2,3,0,0.0
0.1,5e-06,2,4,1,2.8685940337005493
0.1,5e-06,2,5,1,2.8566323804087337
0.1,5e-06,2,6,0,0.0
0.1,5e-06,2,7,0,0.0
0.1,5e-06,2,8,0,0.0
0.1,5e-06,2,9,0,0.0
0.1,5e-06,2,10,1,4.360041706969268
0.1,5e-06,2,11,0,0.0
0.1,5e-06,3,0,0,0.0
0.1,5e-06,3,1,0,0.0
0.1,5e-06,3,2,0,0.0
0.1,5e-06,3,3,0,0.0
0.1,5e-06,3,4,0,0.0
0.1,5e-06,3,5,0,0.0
0.1,5e-06,3,6,1,1.351372477419369
0.1,5e-06,3,7,1,1.3496075998256056
0.1,5e-06,3,8,0,0.0
0.1,5e-06,3,9,0,0.0
0.1,5e-06,3,10,0,0.0
0.1,5e-06,3,11,1,1.5775470372097287
0.1,5e-06,4,0,1,2.0585295205782757
0.1,5e-06,4,1,1,1.7915017490229221
0.1,5e-06,4,2,1,1.1103278205893528
0.1,5e-06,4,3,1,1.0943269205782993
0.1,5e-06,4,4,0,0.0
0.1,5e-06,4,5,0,0.0
0.1,5e-06,4,6,0,0.0
0.1,5e-06,4,7,0,0.0
0.1,5e-06,4,8,1,2.3826736181918817
0.1,5e-06,4,9,1,0.7302243332003501
0.1,5e-06,4,10,0,0.0
0.1,5e-06,4,11,0,0.0
0.1,5e-06,5,0,0,0.0
0.1,5e-06,5,1,0,0.0
0.1,5e-06,5,2,1,3.5922216792987647
0.1,5e-06,5,3,1,2.530335133858271
0.1,5e-06,5,4,1,3.8624279534991937
0.1,5e-06,5,5,1,3.4222113954064324
0.1,5e-06,5,6,0,0.0
0.1,5e-06,5,7,0,0.0
0.1,5e-06,5,8,0,0.0
0.1,5e-06,5,9,1,4.154678373679122
0.1,5e-06,5,10,1,5.139880484339964
0.1,5e-06,5,11,0,0.0
0.1,5e-06,6,0,1,2.9174262354323197
0.1,5e-06,6,1,1,4.295950038394829
0.1,5e-06,6,2,0,0.0
0.1,5e-06,6,3,0,0.0
0.1,5e-06,6,4,1,5.9078765444552435
0.1,5e-06,6,5,1,4.427588020143937
0.1,5e-06,6,6,0,0.0
0.1,5e-06,6,7,0,0.0
0.1,5e-06,6,8,1,3.7684154839406383
0.1,5e-06,6,9,0,0.0
0.1,5e-06,6,10,1,8.622287041940789
0.1,5e-06,6,11,0,0.0
0.1,5e-06,7,0,0,0.0
0.1,5e-06,7,1,0,0.0
0.1,5e-06,7,2,0,0.0
0.1,5e-06,7,3,0,0.0
0.1,5e-06,7,4,0,0.0
0.1,5e-06,7,5,0,0.0
0.1,5e-06,7,6,1,1.3298687382384438
0.1,5e-06,7,7,1,1.3150214540558671
0.1,5e-06,7,8,0,0.0
0.1,5e-06,7,9,0,0.0
0.1,5e-06,7,10,0,0.0
0.1,5e-06,7,11,1,1.213820734057638
0.1,5e-06,8,0,1,3.968712543547616
0.1,5e-06,8,1,1,3.644095312112517
