preparation,time,local_chi,mode_coordinate,mode_momentum,mode_energy_fraction,charge_fraction,charge_balance_fraction,total_energy,outer_energy_sink,core_peak
fine,1074.4,-0.0008812179147279662,-0.0008813166070053871,0.0001950303529421809,0.9999901044236926,0.9999999994917784,2.7166932817848528e-15,2616.3292227116717,2.184115929322492e-06,0.7426153811398317
fine,1074.6,-0.0008392592151996444,-0.0008393532395087213,0.00022436022248693317,0.9999882920927664,0.9999999994917763,2.2372768202934083e-15,2616.3292235370072,2.184121147500078e-06,0.7426146233881292
fine,1074.8,-0.000791584549025731,-0.0007916733955205241,0.00025216200458401974,0.9999861613595682,0.9999999994917749,2.556887794621038e-15,2616.3292243427195,2.184125924493759e-06,0.7426139110901595
fine,1075.0,-0.0007385186448558898,-0.0007386018141068426,0.0002782463660514229,0.9999837657347957,0.9999999994917732,2.397082307457223e-15,2616.3292250230897,2.184130424892171e-06,0.7426133479046202
fine,1075.2,-0.0006804229528731938,-0.0006804999518539557,0.0003024356769729524,0.9999811992685128,0.9999999994917715,2.556887794621038e-15,2616.3292254887615,2.184134898294822e-06,0.742613015723119
fine,1075.4,-0.0006176931786394544,-0.0006177635201892467,0.00032456521657980576,0.9999785866606434,0.9999999994917698,2.397082307457223e-15,2616.3292256784644,2.1841395017472406e-06,0.7426129623419547
fine,1075.6,-0.0005507565845554185,-0.000550819790222763,0.00034448429095113703,0.9999760655937118,0.9999999994917682,2.556887794621038e-15,2616.32922556705,2.18414443385945e-06,0.7426131943912564
fine,1075.8,-0.00048006907766406156,-0.000480124683438195,0.00036205725570667783,0.9999737655959021,0.9999999994917664,2.397082307457223e-15,2616.3292251688335,2.1841498349494753e-06,0.7426136766153842
fine,1076.0,-0.00040611210370053604,-0.00040615966787289844,0.0003771644373928211,0.9999717886836393,0.9999999994917649,2.556887794621038e-15,2616.329224535765,2.1841556945821765e-06,0.7426143375605254
fine,1076.2,-0.00032938936834798246,-0.0003294284806406598,0.00038970294770898276,0.9999701965755161,0.9999999994917632,2.556887794621038e-15,2616.329223750686,2.1841620238661354e-06,0.7426150807044242
